tracking_id,ID,ear_2,ear_1,ear_0,average-ear,ear-category,tassel_2,tassel_1,tassel_0,average-tassel,tassel-category
GRMZM5G800096,0,0.0306131,0,0,0.010204367,unexpressed,0,0.0359033,0,0.011967767,unexpressed
GRMZM5G800101,1,0.0177905,0.0857706,0.0294681,0.044343067,unexpressed,0.0210705,0.020826,0.0088073,0.016901267,unexpressed
GRMZM5G800457,2,0,0,0,0,unexpressed,0,0,0.089154,0.029718,unexpressed
GRMZM5G800780,3,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G800980,4,0.0452916,0.0275124,0.0498061,0.040870033,unexpressed,0.0790563,0.0264751,0.0439804,0.049837267,unexpressed
GRMZM5G801074,5,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G801746,6,0,0,0,0,unexpressed,0,2.39655,1.9432,1.446583333,expressed
GRMZM5G801958,7,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G804358,8,2.06521,1.50091,0.691281,1.419133667,expressed,1.01065,1.24659,0.783044,1.013428,expressed
GRMZM5G804671,9,0,0,0,0,unexpressed,0,0,1.18864,0.396213333,expressed
GRMZM5G804708,10,0.0226621,0.0368379,0.0254108,0.0283036,unexpressed,0.0269524,0.0532307,0.0223147,0.034165933,unexpressed
GRMZM5G804776,11,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G805421,12,0,0.483002,0,0.161000667,expressed,0,0,0,0,unexpressed
GRMZM5G805940,13,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G806435,14,0.0495567,0.0598104,0.0547823,0.054716467,unexpressed,0.0194587,0.0578045,0.0486552,0.0419728,unexpressed
GRMZM5G806488,15,0.0428958,0.153773,0.0234651,0.073377967,unexpressed,0.0759487,0.0753376,0.105524,0.085603433,unexpressed
GRMZM5G807592,16,5.52496,3.40045,4.23619,4.3872,expressed,3.10252,4.25213,5.38744,4.247363333,expressed
GRMZM5G808402,17,0,0,0.0508069,0.016935633,unexpressed,0,0,0,0,unexpressed
GRMZM5G808939,18,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G809869,19,0.0933562,0,0,0.031118733,unexpressed,0,0,0.0915727,0.030524233,unexpressed
GRMZM5G810298,20,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G811749,21,0.085708,0.174975,0,0.086894333,unexpressed,0.0672502,0.0335175,0.0826619,0.0611432,unexpressed
GRMZM5G813608,22,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G813949,23,0,0,0,0,unexpressed,0,0,0,0,unexpressed
GRMZM5G814594,24,0,0,0,0,unexpressed,0,0,0,0,unexpressed
