Annotation1,Annotation2,ChIN,ID
Zm00001d001765,Zm00001d001766,103,0
Zm00001d001765,Zm00001d001766,103,1
Zm00001d001763,Zm00001d001773,103,2
Zm00001d001763,Zm00001d001774,103,3
Zm00001d001763,Zm00001d001771,103,4
Zm00001d001763,Zm00001d001772,103,5
Zm00001d001766,Zm00001d001773,103,6
Zm00001d001766,Zm00001d001774,103,7
Zm00001d001766,Zm00001d001771,103,8
Zm00001d001766,Zm00001d001772,103,9
Zm00001d001773,Zm00001d001779,103,10
Zm00001d001774,Zm00001d001779,103,11
Zm00001d001771,Zm00001d001779,103,12
Zm00001d001772,Zm00001d001779,103,13
Zm00001d001773,Zm00001d001780,103,14
Zm00001d001774,Zm00001d001780,103,15
Zm00001d001771,Zm00001d001780,103,16
Zm00001d001772,Zm00001d001780,103,17
Zm00001d001773,Zm00001d001781,103,18
Zm00001d001774,Zm00001d001781,103,19
Zm00001d001771,Zm00001d001781,103,20
Zm00001d001772,Zm00001d001781,103,21
Zm00001d001779,Zm00001d001781,103,22
Zm00001d001780,Zm00001d001781,103,23
Zm00001d001779,Zm00001d001784,103,24
Zm00001d001780,Zm00001d001784,103,25
Zm00001d001781,Zm00001d001784,103,26
Zm00001d001781,Zm00001d001785,103,27
Zm00001d001785,Zm00001d001786,103,28
Zm00001d001785,Zm00001d001787,103,29
Zm00001d001785,Zm00001d001788,103,30
Zm00001d001786,Zm00001d001787,103,31
Zm00001d001786,Zm00001d001788,103,32
Zm00001d001787,Zm00001d001789,103,33
Zm00001d001788,Zm00001d001789,103,34
Zm00001d001787,Zm00001d001791,103,35
Zm00001d001788,Zm00001d001791,103,36
Zm00001d001791,Zm00001d001797,103,37
Zm00001d001790,Zm00001d001799,103,38
Zm00001d001790,Zm00001d001798,103,39
Zm00001d001797,Zm00001d001799,103,40
Zm00001d001797,Zm00001d001798,103,41
Zm00001d001799,Zm00001d001803,103,42
Zm00001d001798,Zm00001d001803,103,43
Zm00001d001802,Zm00001d001803,103,44
Zm00001d001803,Zm00001d001804,103,45
Zm00001d001803,Zm00001d001807,103,46
Zm00001d001803,Zm00001d001808,103,47
Zm00001d001803,Zm00001d001806,103,48
Zm00001d001804,Zm00001d001804,103,49
Zm00001d001804,Zm00001d001807,103,50
Zm00001d001804,Zm00001d001808,103,51
Zm00001d001804,Zm00001d001806,103,52
Zm00001d001809,Zm00001d001811,103,53
Zm00001d001804,Zm00001d001813,103,54
Zm00001d001807,Zm00001d001813,103,55
Zm00001d001808,Zm00001d001813,103,56
Zm00001d001806,Zm00001d001813,103,57
Zm00001d001804,Zm00001d001814,103,58
Zm00001d001807,Zm00001d001814,103,59
Zm00001d001808,Zm00001d001814,103,60
Zm00001d001806,Zm00001d001814,103,61
Zm00001d001811,Zm00001d001813,103,62
Zm00001d001811,Zm00001d001814,103,63
Zm00001d001812,Zm00001d001813,103,64
Zm00001d001812,Zm00001d001814,103,65
Zm00001d001811,Zm00001d001814,103,66
Zm00001d001811,Zm00001d001817,103,67
Zm00001d001811,Zm00001d001818,103,68
Zm00001d001811,Zm00001d001819,103,69
Zm00001d001811,Zm00001d001820,103,70
Zm00001d001813,Zm00001d001814,103,71
Zm00001d001814,Zm00001d001814,103,72
Zm00001d001813,Zm00001d001817,103,73
Zm00001d001814,Zm00001d001817,103,74
Zm00001d001813,Zm00001d001818,103,75
Zm00001d001814,Zm00001d001818,103,76
Zm00001d001813,Zm00001d001819,103,77
Zm00001d001814,Zm00001d001819,103,78
Zm00001d001813,Zm00001d001820,103,79
Zm00001d001814,Zm00001d001820,103,80
Zm00001d001812,Zm00001d001823,103,81
Zm00001d001812,Zm00001d001824,103,82
Zm00001d001812,Zm00001d001825,103,83
Zm00001d001814,Zm00001d001823,103,84
Zm00001d001817,Zm00001d001823,103,85
Zm00001d001818,Zm00001d001823,103,86
Zm00001d001819,Zm00001d001823,103,87
Zm00001d001820,Zm00001d001823,103,88
Zm00001d001814,Zm00001d001824,103,89
Zm00001d001817,Zm00001d001824,103,90
Zm00001d001818,Zm00001d001824,103,91
Zm00001d001819,Zm00001d001824,103,92
Zm00001d001820,Zm00001d001824,103,93
Zm00001d001814,Zm00001d001825,103,94
Zm00001d001817,Zm00001d001825,103,95
Zm00001d001818,Zm00001d001825,103,96
Zm00001d001819,Zm00001d001825,103,97
Zm00001d001820,Zm00001d001825,103,98
Zm00001d001814,Zm00001d001825,103,99
Zm00001d001817,Zm00001d001825,103,100
Zm00001d001818,Zm00001d001825,103,101
Zm00001d001819,Zm00001d001825,103,102
Zm00001d001820,Zm00001d001825,103,103
Zm00001d001814,Zm00001d001828,103,104
Zm00001d001817,Zm00001d001828,103,105
Zm00001d001818,Zm00001d001828,103,106
Zm00001d001819,Zm00001d001828,103,107
Zm00001d001820,Zm00001d001828,103,108
Zm00001d001814,Zm00001d001829,103,109
Zm00001d001817,Zm00001d001829,103,110
Zm00001d001818,Zm00001d001829,103,111
Zm00001d001819,Zm00001d001829,103,112
Zm00001d001820,Zm00001d001829,103,113
Zm00001d001814,Zm00001d001830,103,114
Zm00001d001817,Zm00001d001830,103,115
Zm00001d001818,Zm00001d001830,103,116
Zm00001d001819,Zm00001d001830,103,117
Zm00001d001820,Zm00001d001830,103,118
Zm00001d001814,Zm00001d001826,103,119
Zm00001d001817,Zm00001d001826,103,120
Zm00001d001818,Zm00001d001826,103,121
Zm00001d001819,Zm00001d001826,103,122
Zm00001d001820,Zm00001d001826,103,123
Zm00001d001814,Zm00001d001827,103,124
Zm00001d001817,Zm00001d001827,103,125
Zm00001d001818,Zm00001d001827,103,126
Zm00001d001819,Zm00001d001827,103,127
Zm00001d001820,Zm00001d001827,103,128
Zm00001d001823,Zm00001d001825,103,129
Zm00001d001824,Zm00001d001825,103,130
Zm00001d001825,Zm00001d001825,103,131
Zm00001d001823,Zm00001d001828,103,132
Zm00001d001824,Zm00001d001828,103,133
Zm00001d001825,Zm00001d001828,103,134
Zm00001d001823,Zm00001d001829,103,135
Zm00001d001824,Zm00001d001829,103,136
Zm00001d001825,Zm00001d001829,103,137
Zm00001d001823,Zm00001d001830,103,138
Zm00001d001824,Zm00001d001830,103,139
Zm00001d001825,Zm00001d001830,103,140
Zm00001d001823,Zm00001d001826,103,141
Zm00001d001824,Zm00001d001826,103,142
Zm00001d001825,Zm00001d001826,103,143
Zm00001d001823,Zm00001d001827,103,144
Zm00001d001824,Zm00001d001827,103,145
Zm00001d001825,Zm00001d001827,103,146
Zm00001d001823,Zm00001d001831,103,147
Zm00001d001824,Zm00001d001831,103,148
Zm00001d001825,Zm00001d001831,103,149
Zm00001d001823,Zm00001d001832,103,150
Zm00001d001824,Zm00001d001832,103,151
Zm00001d001825,Zm00001d001832,103,152
Zm00001d001825,Zm00001d001831,103,153
Zm00001d001828,Zm00001d001831,103,154
Zm00001d001829,Zm00001d001831,103,155
Zm00001d001830,Zm00001d001831,103,156
Zm00001d001826,Zm00001d001831,103,157
Zm00001d001827,Zm00001d001831,103,158
Zm00001d001825,Zm00001d001832,103,159
Zm00001d001828,Zm00001d001832,103,160
Zm00001d001829,Zm00001d001832,103,161
Zm00001d001830,Zm00001d001832,103,162
Zm00001d001826,Zm00001d001832,103,163
Zm00001d001827,Zm00001d001832,103,164
Zm00001d001831,Zm00001d001835,103,165
Zm00001d001832,Zm00001d001835,103,166
Zm00001d001831,Zm00001d001838,103,167
Zm00001d001832,Zm00001d001838,103,168
Zm00001d001835,Zm00001d001838,103,169
Zm00001d001835,Zm00001d001839,103,170
Zm00001d001837,Zm00001d001839,103,171
Zm00001d001838,Zm00001d001839,103,172
Zm00001d001839,Zm00001d001840,103,173
Zm00001d001839,Zm00001d001841,103,174
Zm00001d001838,Zm00001d001842,103,175
Zm00001d001838,Zm00001d001843,103,176
Zm00001d001838,Zm00001d001844,103,177
Zm00001d001838,Zm00001d001845,103,178
Zm00001d001839,Zm00001d001842,103,179
Zm00001d001839,Zm00001d001843,103,180
Zm00001d001839,Zm00001d001844,103,181
Zm00001d001839,Zm00001d001845,103,182
Zm00001d001842,Zm00001d001846,103,183
Zm00001d001843,Zm00001d001846,103,184
Zm00001d001844,Zm00001d001846,103,185
Zm00001d001845,Zm00001d001846,103,186
Zm00001d001842,Zm00001d001847,103,187
Zm00001d001843,Zm00001d001847,103,188
Zm00001d001844,Zm00001d001847,103,189
Zm00001d001845,Zm00001d001847,103,190
Zm00001d001846,Zm00001d001847,103,191
Zm00001d001848,Zm00001d001849,60,192
Zm00001d001848,Zm00001d001850,60,193
Zm00001d001849,Zm00001d001852,60,194
Zm00001d001850,Zm00001d001852,60,195
Zm00001d001852,Zm00001d001855,60,196
Zm00001d001852,Zm00001d001856,60,197
Zm00001d001852,Zm00001d001859,60,198
Zm00001d001852,Zm00001d001858,60,199
Zm00001d001855,Zm00001d001859,60,200
Zm00001d001855,Zm00001d001858,60,201
Zm00001d001857,Zm00001d001859,60,202
Zm00001d001857,Zm00001d001858,60,203
Zm00001d001848,Zm00001d001862,60,204
Zm00001d001848,Zm00001d001860,60,205
Zm00001d001848,Zm00001d001861,60,206
Zm00001d001859,Zm00001d001862,60,207
Zm00001d001858,Zm00001d001862,60,208
Zm00001d001859,Zm00001d001860,60,209
Zm00001d001858,Zm00001d001860,60,210
Zm00001d001859,Zm00001d001861,60,211
Zm00001d001858,Zm00001d001861,60,212
Zm00001d001859,Zm00001d001862,60,213
Zm00001d001859,Zm00001d001860,60,214
Zm00001d001859,Zm00001d001861,60,215
Zm00001d001859,Zm00001d001864,60,216
Zm00001d001859,Zm00001d001865,60,217
