ID,Annotation1,Annotation2
0,Zm00001d027242,Zm00001d027259
1,Zm00001d027254,Zm00001d027257
2,Zm00001d027254,Zm00001d027259
3,Zm00001d022649,Zm00001d027259
4,Zm00001d027259,Zm00001d027275
5,Zm00001d027259,Zm00001d027293
6,Zm00001d027259,Zm00001d027265
7,Zm00001d027265,Zm00001d027296
8,Zm00001d027267,Zm00001d027334
9,Zm00001d027267,Zm00001d027412
10,Zm00001d027268,Zm00001d027271
11,Zm00001d027268,Zm00001d027273
12,Zm00001d027268,Zm00001d027309
13,Zm00001d027268,Zm00001d027341
14,Zm00001d027271,Zm00001d027273
15,Zm00001d027277,Zm00001d027278
16,Zm00001d027283,Zm00001d027289
17,Zm00001d027283,Zm00001d027285
18,ENSRNA049464979,Zm00001d027289
19,Zm00001d027291,Zm00001d027292
20,Zm00001d027293,Zm00001d027296
21,Zm00001d027296,Zm00001d027299
22,Zm00001d027299,Zm00001d027300
23,Zm00001d027299,Zm00001d027302
24,Zm00001d027300,Zm00001d027302
25,Zm00001d027305,Zm00001d027307
26,Zm00001d027308,Zm00001d027311
27,Zm00001d027309,Zm00001d027311
28,Zm00001d027309,Zm00001d027312
29,Zm00001d027309,Zm00001d027334
30,Zm00001d027312,Zm00001d027315
31,Zm00001d027317,Zm00001d027346
32,Zm00001d027317,Zm00001d027416
33,Zm00001d027318,Zm00001d027320
34,Zm00001d027321,Zm00001d027430
35,Zm00001d027322,Zm00001d027324
36,Zm00001d027329,Zm00001d027333
37,Zm00001d027330,Zm00001d027332
38,Zm00001d027334,Zm00001d027462
39,Zm00001d027334,Zm00001d027346
40,Zm00001d027339,Zm00001d027340
41,Zm00001d027341,Zm00001d027412
42,Zm00001d027341,Zm00001d027430
43,Zm00001d027341,Zm00001d027479
44,Zm00001d027342,Zm00001d027346
45,Zm00001d027346,Zm00001d027411
46,Zm00001d027346,Zm00001d027350
47,Zm00001d027346,Zm00001d027352
48,Zm00001d027346,Zm00001d027354
49,Zm00001d022654,Zm00001d027352
50,Zm00001d027352,Zm00001d027430
51,Zm00001d027352,Zm00001d027447
52,Zm00001d027352,Zm00001d027354
53,Zm00001d027354,Zm00001d027412
54,Zm00001d027359,Zm00001d027361
55,Zm00001d027359,Zm00001d027362
56,Zm00001d027361,Zm00001d027403
57,Zm00001d027368,Zm00001d027749
58,Zm00001d027395,Zm00001d027415
59,Zm00001d027395,Zm00001d027399
60,Zm00001d027403,Zm00001d027405
61,Zm00001d027405,Zm00001d027406
62,Zm00001d027406,Zm00001d027409
63,Zm00001d027409,Zm00001d027419
64,Zm00001d027412,Zm00001d027427
65,Zm00001d027412,Zm00001d027447
66,Zm00001d027412,Zm00001d027460
67,Zm00001d027412,Zm00001d027484
68,Zm00001d027412,Zm00001d027508
69,Zm00001d027412,Zm00001d027598
70,Zm00001d027412,Zm00001d027458
71,Zm00001d027412,Zm00001d027415
72,Zm00001d027416,Zm00001d027441
73,Zm00001d027419,Zm00001d027462
74,Zm00001d027423,Zm00001d027480
75,Zm00001d027423,Zm00001d027427
76,Zm00001d027423,Zm00001d027425
77,Zm00001d027423,Zm00001d022661
78,Zm00001d027423,Zm00001d027508
79,Zm00001d027423,Zm00001d027523
80,Zm00001d027425,Zm00001d027427
81,Zm00001d022658,Zm00001d027447
82,Zm00001d027430,Zm00001d027484
83,Zm00001d022659,Zm00001d027434
84,Zm00001d027434,Zm00001d027441
85,Zm00001d027435,Zm00001d022660
86,Zm00001d027441,Zm00001d022661
87,Zm00001d027441,Zm00001d027444
88,Zm00001d027441,Zm00001d027462
89,Zm00001d027445,Zm00001d027723
90,Zm00001d027446,Zm00001d022667
91,Zm00001d027447,Zm00001d027524
92,Zm00001d027447,Zm00001d027571
93,Zm00001d027447,Zm00001d027684
94,Zm00001d027447,Zm00001d027815
95,Zm00001d027450,Zm00001d027548
96,Zm00001d027451,Zm00001d022661
97,Zm00001d027455,Zm00001d027458
98,Zm00001d027456,Zm00001d027457
99,Zm00001d027458,ENSRNA049437518
100,Zm00001d027459,Zm00001d027460
101,Zm00001d027460,Zm00001d027626
102,Zm00001d027462,Zm00001d027484
103,Zm00001d027462,Zm00001d027492
104,Zm00001d027462,Zm00001d027508
105,Zm00001d027462,Zm00001d027524
107,Zm00001d027462,Zm00001d027479
108,Zm00001d027466,Zm00001d027479
109,Zm00001d027468,Zm00001d027472
110,Zm00001d027469,Zm00001d027472
111,Zm00001d027472,Zm00001d027657
112,Zm00001d027472,Zm00001d027479
113,Zm00001d027475,Zm00001d027634
114,Zm00001d027475,Zm00001d027478
115,Zm00001d027479,Zm00001d027665
116,Zm00001d027484,Zm00001d027598
117,Zm00001d027484,Zm00001d028012
118,Zm00001d027492,Zm00001d027523
119,Zm00001d027492,Zm00001d027508
120,Zm00001d027492,Zm00001d027548
121,Zm00001d027492,Zm00001d027557
122,Zm00001d027492,Zm00001d027934
123,Zm00001d027503,Zm00001d027523
124,Zm00001d027503,Zm00001d027504
125,Zm00001d027503,Zm00001d022663
126,Zm00001d027504,Zm00001d022663
127,Zm00001d027508,Zm00001d027523
128,Zm00001d027510,Zm00001d027511
129,Zm00001d027517,Zm00001d027519
130,Zm00001d027517,Zm00001d027523
131,Zm00001d027520,Zm00001d027709
132,Zm00001d027520,Zm00001d027523
133,Zm00001d027523,Zm00001d027548
134,Zm00001d027524,Zm00001d027532
135,Zm00001d027524,Zm00001d027571
136,Zm00001d027524,Zm00001d027585
137,Zm00001d027524,Zm00001d027619
138,Zm00001d027524,Zm00001d027625
139,Zm00001d027524,Zm00001d027720
140,Zm00001d027524,Zm00001d027728
141,Zm00001d027524,Zm00001d027756
142,Zm00001d027524,Zm00001d027597
143,Zm00001d027525,Zm00001d027527
144,Zm00001d027530,Zm00001d027531
145,Zm00001d027532,Zm00001d027596
146,Zm00001d027533,Zm00001d027548
147,Zm00001d027534,Zm00001d027536
148,Zm00001d027535,Zm00001d027544
149,Zm00001d027535,Zm00001d027536
150,Zm00001d027542,Zm00001d022664
151,Zm00001d027548,Zm00001d027595
152,Zm00001d027548,Zm00001d027585
153,Zm00001d027548,Zm00001d027619
154,Zm00001d027548,Zm00001d027652
155,Zm00001d027548,Zm00001d027685
156,Zm00001d027548,Zm00001d027815
157,Zm00001d027551,Zm00001d027556
158,Zm00001d027558,Zm00001d027569
159,Zm00001d027558,Zm00001d027570
160,Zm00001d027571,Zm00001d027619
161,Zm00001d027571,Zm00001d022667
162,Zm00001d027582,Zm00001d027596
163,Zm00001d027582,Zm00001d027587
164,Zm00001d027587,Zm00001d027588
165,Zm00001d027587,Zm00001d027596
166,Zm00001d027593,Zm00001d027595
167,Zm00001d027596,Zm00001d027756
168,Zm00001d027596,Zm00001d027625
169,Zm00001d027597,Zm00001d027626
170,Zm00001d027597,Zm00001d027630
171,Zm00001d027598,Zm00001d027611
172,Zm00001d027598,Zm00001d027637
173,Zm00001d027598,Zm00001d027646
174,Zm00001d027598,Zm00001d027652
175,Zm00001d027598,Zm00001d027685
176,Zm00001d027598,Zm00001d027605
177,Zm00001d027598,Zm00001d027607
178,Zm00001d027598,Zm00001d027619
179,Zm00001d027601,Zm00001d027611
180,Zm00001d027605,Zm00001d027606
181,Zm00001d027605,Zm00001d027611
182,Zm00001d027613,Zm00001d027625
183,Zm00001d027619,Zm00001d027679
184,Zm00001d027619,Zm00001d027685
185,Zm00001d027619,Zm00001d027621
186,Zm00001d027621,Zm00001d027622
187,Zm00001d027623,Zm00001d027624
188,Zm00001d027623,Zm00001d027626
189,Zm00001d027625,Zm00001d027652
190,Zm00001d027625,Zm00001d022671
191,Zm00001d027625,Zm00001d027714
192,Zm00001d027625,Zm00001d027628
193,Zm00001d022667,Zm00001d027633
194,Zm00001d022667,Zm00001d027723
195,Zm00001d022667,Zm00001d027731
196,Zm00001d022667,Zm00001d027626
197,Zm00001d027626,Zm00001d027633
198,Zm00001d027626,Zm00001d027628
199,Zm00001d027631,Zm00001d027652
200,Zm00001d027631,Zm00001d027721
201,Zm00001d027631,Zm00001d027633
202,Zm00001d027634,Zm00001d027665
203,Zm00001d027633,Zm00001d027657
204,Zm00001d027633,Zm00001d027835
205,Zm00001d027637,Zm00001d027683
206,Zm00001d027637,Zm00001d027638
207,Zm00001d027637,Zm00001d027641
210,ENSRNA049437607,Zm00001d027652
211,Zm00001d027652,Zm00001d027685
212,Zm00001d027652,Zm00001d027764
213,Zm00001d027657,Zm00001d027665
214,Zm00001d027657,Zm00001d027715
215,Zm00001d027657,Zm00001d027769
216,Zm00001d027657,Zm00001d027665
217,Zm00001d027676,Zm00001d027679
218,Zm00001d027677,Zm00001d027678
219,Zm00001d027680,Zm00001d022672
220,Zm00001d027680,Zm00001d027683
221,Zm00001d027680,Zm00001d027700
222,Zm00001d022672,Zm00001d027683
223,Zm00001d027684,Zm00001d027752
224,Zm00001d027685,Zm00001d027721
225,Zm00001d027685,Zm00001d027726
226,Zm00001d027685,Zm00001d027749
227,Zm00001d027685,Zm00001d027756
228,Zm00001d027685,Zm00001d027764
229,Zm00001d027685,Zm00001d027801
230,Zm00001d027685,Zm00001d028073
231,Zm00001d027685,Zm00001d027728
232,Zm00001d027688,Zm00001d027709
233,Zm00001d027688,Zm00001d027723
234,Zm00001d027688,Zm00001d027815
235,Zm00001d027688,Zm00001d027938
236,Zm00001d027688,Zm00001d027696
237,Zm00001d027701,Zm00001d027703
238,Zm00001d027701,Zm00001d027707
239,Zm00001d027703,Zm00001d027706
240,Zm00001d027706,Zm00001d027804
241,Zm00001d027707,Zm00001d027708
242,Zm00001d027707,Zm00001d027714
243,Zm00001d027707,Zm00001d027711
244,Zm00001d027711,Zm00001d027715
245,Zm00001d027714,Zm00001d027720
246,Zm00001d027714,Zm00001d027715
247,Zm00001d027715,Zm00001d027720
248,Zm00001d027715,Zm00001d027717
249,Zm00001d027715,Zm00001d027718
250,Zm00001d027721,Zm00001d027723
251,Zm00001d027721,Zm00001d027749
252,Zm00001d027721,Zm00001d027867
253,Zm00001d027721,Zm00001d027896
254,Zm00001d027723,Zm00001d027726
255,Zm00001d027723,Zm00001d027728
256,Zm00001d027726,Zm00001d027728
257,Zm00001d027731,Zm00001d027756
258,Zm00001d027733,Zm00001d027764
259,Zm00001d027734,Zm00001d027744
260,Zm00001d027734,Zm00001d027768
261,Zm00001d027738,Zm00001d027741
262,Zm00001d027742,Zm00001d027744
263,Zm00001d027752,Zm00001d027755
264,Zm00001d027753,Zm00001d027835
265,Zm00001d027756,Zm00001d022677
266,Zm00001d027756,Zm00001d027902
267,Zm00001d027756,Zm00001d028369
269,Zm00001d027757,Zm00001d027854
270,Zm00001d027764,Zm00001d027801
271,Zm00001d027764,Zm00001d022677
272,Zm00001d027764,Zm00001d027767
273,Zm00001d027769,Zm00001d027807
274,Zm00001d027769,Zm00001d022677
275,Zm00001d027769,Zm00001d027790
276,Zm00001d027790,Zm00001d027841
277,Zm00001d027795,Zm00001d027799
278,Zm00001d027797,Zm00001d027798
279,Zm00001d027799,Zm00001d027801
280,Zm00001d027801,Zm00001d027815
281,Zm00001d027801,Zm00001d027902
282,Zm00001d027801,Zm00001d022677
283,Zm00001d027801,Zm00001d027802
284,Zm00001d027803,Zm00001d027805
285,Zm00001d027807,Zm00001d022677
286,ENSRNA049472005,Zm00001d027811
287,Zm00001d027810,Zm00001d027811
288,Zm00001d027813,Zm00001d022677
289,Zm00001d027815,Zm00001d027876
290,Zm00001d027815,Zm00001d027935
291,Zm00001d027815,Zm00001d027816
292,Zm00001d027815,Zm00001d027896
293,Zm00001d027816,Zm00001d022677
294,Zm00001d027816,Zm00001d027824
295,Zm00001d027827,Zm00001d027833
296,Zm00001d027838,Zm00001d027840
297,Zm00001d027838,Zm00001d027934
298,Zm00001d027840,Zm00001d027841
299,Zm00001d027842,Zm00001d027845
300,Zm00001d027845,Zm00001d027848
301,Zm00001d027847,Zm00001d027873
302,Zm00001d027847,Zm00001d027849
303,Zm00001d022678,Zm00001d027854
304,Zm00001d027856,Zm00001d027877
305,Zm00001d027861,Zm00001d027862
306,Zm00001d027868,Zm00001d027869
307,Zm00001d027868,Zm00001d027872
308,Zm00001d027868,Zm00001d027876
309,Zm00001d027868,Zm00001d027885
310,Zm00001d027873,Zm00001d027885
311,Zm00001d027873,Zm00001d027971
312,Zm00001d027874,Zm00001d027876
313,Zm00001d027874,Zm00001d027902
314,Zm00001d027874,Zm00001d027875
315,Zm00001d027875,Zm00001d022680
316,Zm00001d027875,Zm00001d027876
317,Zm00001d027876,Zm00001d022680
318,Zm00001d027876,Zm00001d027880
319,Zm00001d027876,Zm00001d027879
320,Zm00001d027876,Zm00001d027903
321,Zm00001d027876,Zm00001d027877
322,Zm00001d027877,Zm00001d027902
323,Zm00001d022680,Zm00001d027879
324,Zm00001d022680,Zm00001d027880
325,Zm00001d022680,Zm00001d027884
326,Zm00001d027878,Zm00001d027902
327,Zm00001d027880,Zm00001d027882
328,Zm00001d027880,Zm00001d027884
329,Zm00001d027881,Zm00001d027884
330,Zm00001d027882,Zm00001d027884
331,Zm00001d027885,Zm00001d027934
332,Zm00001d027886,Zm00001d027936
333,Zm00001d027886,Zm00001d028073
334,Zm00001d027888,Zm00001d027890
335,Zm00001d027888,Zm00001d027892
