ChIN,Annotation1,Annotation2,ID
399,Zm00001d027305,Zm00001d027307,38
399,Zm00001d027307,Zm00001d027312,39
399,Zm00001d027307,Zm00001d027313,40
399,Zm00001d027307,Zm00001d033158,41
399,Zm00001d027309,Zm00001d027311,42
399,Zm00001d027309,Zm00001d027312,43
399,Zm00001d027309,Zm00001d027313,44
399,Zm00001d027312,Zm00001d027314,45
399,Zm00001d027313,Zm00001d027314,46
399,Zm00001d027312,Zm00001d027315,47
399,Zm00001d027313,Zm00001d027315,48
399,Zm00001d027314,Zm00001d027318,49
399,Zm00001d027315,Zm00001d027318,50
399,Zm00001d027314,Zm00001d027317,51
399,Zm00001d027315,Zm00001d027317,52
399,Zm00001d027314,Zm00001d027320,53
399,Zm00001d027315,Zm00001d027320,54
399,Zm00001d027314,Zm00001d027322,55
399,Zm00001d027315,Zm00001d027322,56
399,Zm00001d027314,Zm00001d027321,57
399,Zm00001d027315,Zm00001d027321,58
399,Zm00001d027318,Zm00001d027319,59
399,Zm00001d027317,Zm00001d027319,60
399,Zm00001d027318,Zm00001d027320,61
399,Zm00001d027317,Zm00001d027320,62
399,Zm00001d027318,Zm00001d027322,63
399,Zm00001d027317,Zm00001d027322,64
399,Zm00001d027318,Zm00001d027321,65
399,Zm00001d027317,Zm00001d027321,66
399,Zm00001d027319,Zm00001d027320,67
399,Zm00001d027319,Zm00001d027322,68
399,Zm00001d027319,Zm00001d027321,69
399,Zm00001d027320,Zm00001d027323,70
399,Zm00001d027322,Zm00001d027323,71
399,Zm00001d027321,Zm00001d027323,72
399,Zm00001d027320,Zm00001d027324,73
399,Zm00001d027322,Zm00001d027324,74
399,Zm00001d027321,Zm00001d027324,75
399,Zm00001d027320,Zm00001d027325,76
399,Zm00001d027322,Zm00001d027325,77
399,Zm00001d027321,Zm00001d027325,78
399,Zm00001d027320,Zm00001d027326,79
399,Zm00001d027322,Zm00001d027326,80
399,Zm00001d027321,Zm00001d027326,81
399,Zm00001d027323,Zm00001d027325,82
399,Zm00001d027324,Zm00001d027325,83
399,Zm00001d027324,Zm00001d027326,84
399,Zm00001d027325,Zm00001d027326,85
399,Zm00001d027325,Zm00001d027329,86
399,Zm00001d027326,Zm00001d027329,87
399,Zm00001d027329,Zm00001d027333,88
399,Zm00001d027329,Zm00001d027334,89
399,Zm00001d027332,Zm00001d027334,90
399,Zm00001d027333,Zm00001d027334,91
399,Zm00001d027334,Zm00001d027335,92
399,Zm00001d027334,Zm00001d027337,93
399,Zm00001d027334,Zm00001d027338,94
399,Zm00001d027334,Zm00001d027339,95
399,Zm00001d027334,Zm00001d027341,96
399,Zm00001d027334,Zm00001d027342,97
399,Zm00001d027335,Zm00001d032219,98
399,Zm00001d027337,Zm00001d027340,99
399,Zm00001d027338,Zm00001d027340,100
399,Zm00001d027339,Zm00001d027340,101
399,Zm00001d027337,Zm00001d027341,102
399,Zm00001d027338,Zm00001d027341,103
399,Zm00001d027339,Zm00001d027341,104
399,Zm00001d027337,Zm00001d027342,105
399,Zm00001d027338,Zm00001d027342,106
399,Zm00001d027339,Zm00001d027342,107
399,Zm00001d027340,Zm00001d027341,108
399,Zm00001d027340,Zm00001d027342,109
399,Zm00001d027340,Zm00001d027343,110
399,Zm00001d027340,Zm00001d027344,111
399,Zm00001d027340,Zm00001d027345,112
399,Zm00001d027340,Zm00001d027346,113
399,Zm00001d027340,Zm00001d027347,114
399,Zm00001d027341,Zm00001d027343,115
399,Zm00001d027342,Zm00001d027343,116
399,Zm00001d027341,Zm00001d027344,117
399,Zm00001d027342,Zm00001d027344,118
399,Zm00001d027341,Zm00001d027345,119
399,Zm00001d027342,Zm00001d027345,120
399,Zm00001d027341,Zm00001d027346,121
399,Zm00001d027342,Zm00001d027346,122
399,Zm00001d027341,Zm00001d027347,123
399,Zm00001d027342,Zm00001d027347,124
399,Zm00001d027343,Zm00001d027349,125
399,Zm00001d027344,Zm00001d027349,126
399,Zm00001d027345,Zm00001d027349,127
399,Zm00001d027346,Zm00001d027349,128
399,Zm00001d027347,Zm00001d027349,129
399,Zm00001d027343,Zm00001d027348,130
399,Zm00001d027344,Zm00001d027348,131
399,Zm00001d027345,Zm00001d027348,132
399,Zm00001d027346,Zm00001d027348,133
399,Zm00001d027347,Zm00001d027348,134
399,Zm00001d027343,Zm00001d027349,135
399,Zm00001d027344,Zm00001d027349,136
399,Zm00001d027345,Zm00001d027349,137
399,Zm00001d027346,Zm00001d027349,138
399,Zm00001d027347,Zm00001d027349,139
399,Zm00001d027343,Zm00001d027350,140
399,Zm00001d027344,Zm00001d027350,141
399,Zm00001d027345,Zm00001d027350,142
399,Zm00001d027346,Zm00001d027350,143
399,Zm00001d027347,Zm00001d027350,144
399,Zm00001d027343,Zm00001d027351,145
399,Zm00001d027344,Zm00001d027351,146
399,Zm00001d027345,Zm00001d027351,147
399,Zm00001d027346,Zm00001d027351,148
399,Zm00001d027347,Zm00001d027351,149
399,Zm00001d027343,Zm00001d027353,150
399,Zm00001d027344,Zm00001d027353,151
399,Zm00001d027345,Zm00001d027353,152
399,Zm00001d027346,Zm00001d027353,153
399,Zm00001d027347,Zm00001d027353,154
399,Zm00001d027343,Zm00001d027352,155
399,Zm00001d027344,Zm00001d027352,156
399,Zm00001d027345,Zm00001d027352,157
399,Zm00001d027346,Zm00001d027352,158
399,Zm00001d027347,Zm00001d027352,159
399,Zm00001d027349,Zm00001d027349,160
399,Zm00001d027348,Zm00001d027349,161
399,Zm00001d027349,Zm00001d027350,162
399,Zm00001d027348,Zm00001d027350,163
399,Zm00001d027349,Zm00001d027351,164
399,Zm00001d027348,Zm00001d027351,165
399,Zm00001d027349,Zm00001d027353,166
399,Zm00001d027348,Zm00001d027353,167
399,Zm00001d027349,Zm00001d027352,168
399,Zm00001d027348,Zm00001d027352,169
399,Zm00001d027349,Zm00001d027351,170
399,Zm00001d027348,Zm00001d027351,171
399,Zm00001d027349,Zm00001d027354,172
399,Zm00001d027348,Zm00001d027354,173
399,Zm00001d027349,Zm00001d027351,174
399,Zm00001d027350,Zm00001d027351,175
399,Zm00001d027349,Zm00001d027353,176
399,Zm00001d027350,Zm00001d027353,177
399,Zm00001d027349,Zm00001d027352,178
399,Zm00001d027350,Zm00001d027352,179
399,Zm00001d027349,Zm00001d027351,180
399,Zm00001d027350,Zm00001d027351,181
399,Zm00001d027349,Zm00001d027354,182
399,Zm00001d027350,Zm00001d027354,183
399,Zm00001d027351,Zm00001d027351,184
399,Zm00001d027351,Zm00001d027353,185
399,Zm00001d027351,Zm00001d027352,186
399,Zm00001d027351,Zm00001d027354,187
399,Zm00001d027353,Zm00001d027354,188
399,Zm00001d027352,Zm00001d027354,189
399,Zm00001d027355,Zm00001d027361,190
399,Zm00001d027359,Zm00001d027362,191
399,Zm00001d027359,Zm00001d027363,192
399,Zm00001d027361,Zm00001d027362,193
399,Zm00001d027361,Zm00001d027363,194
399,Zm00001d027361,Zm00001d027366,195
399,Zm00001d027361,Zm00001d027367,196
399,Zm00001d027361,Zm00001d027368,197
399,Zm00001d027361,Zm00001d027365,198
399,Zm00001d027362,Zm00001d027366,199
399,Zm00001d027363,Zm00001d027366,200
399,Zm00001d027362,Zm00001d027367,201
399,Zm00001d027363,Zm00001d027367,202
399,Zm00001d027362,Zm00001d027368,203
399,Zm00001d027363,Zm00001d027368,204
399,Zm00001d027362,Zm00001d027365,205
399,Zm00001d027363,Zm00001d027365,206
399,Zm00001d027362,Zm00001d027369,207
399,Zm00001d027363,Zm00001d027369,208
399,Zm00001d027362,Zm00001d027370,209
399,Zm00001d027363,Zm00001d027370,210
399,Zm00001d027366,Zm00001d027369,211
399,Zm00001d027367,Zm00001d027369,212
399,Zm00001d027368,Zm00001d027369,213
399,Zm00001d027365,Zm00001d027369,214
399,Zm00001d027366,Zm00001d027370,215
399,Zm00001d027367,Zm00001d027370,216
399,Zm00001d027368,Zm00001d027370,217
399,Zm00001d027365,Zm00001d027370,218
399,Zm00001d027366,Zm00001d027373,219
399,Zm00001d027367,Zm00001d027373,220
399,Zm00001d027368,Zm00001d027373,221
399,Zm00001d027365,Zm00001d027373,222
399,Zm00001d027366,Zm00001d027374,223
399,Zm00001d027367,Zm00001d027374,224
399,Zm00001d027368,Zm00001d027374,225
399,Zm00001d027365,Zm00001d027374,226
399,Zm00001d027366,Zm00001d027375,227
399,Zm00001d027367,Zm00001d027375,228
399,Zm00001d027368,Zm00001d027375,229
399,Zm00001d027365,Zm00001d027375,230
399,Zm00001d027369,Zm00001d027373,231
399,Zm00001d027370,Zm00001d027373,232
399,Zm00001d027369,Zm00001d027374,233
399,Zm00001d027370,Zm00001d027374,234
399,Zm00001d027369,Zm00001d027375,235
399,Zm00001d027370,Zm00001d027375,236
399,Zm00001d027371,Zm00001d027373,237
399,Zm00001d027371,Zm00001d027374,238
399,Zm00001d027371,Zm00001d027375,239
399,Zm00001d027373,Zm00001d027376,240
399,Zm00001d027374,Zm00001d027376,241
399,Zm00001d027375,Zm00001d027376,242
399,Zm00001d027373,Zm00001d027383,243
399,Zm00001d027374,Zm00001d027383,244
399,Zm00001d027375,Zm00001d027383,245
399,Zm00001d027373,Zm00001d027384,246
399,Zm00001d027374,Zm00001d027384,247
399,Zm00001d027375,Zm00001d027384,248
399,Zm00001d027373,Zm00001d027385,249
399,Zm00001d027374,Zm00001d027385,250
399,Zm00001d027375,Zm00001d027385,251
399,Zm00001d027376,Zm00001d027383,252
399,Zm00001d027376,Zm00001d027384,253
399,Zm00001d027376,Zm00001d027385,254
399,Zm00001d027383,Zm00001d027386,255
399,Zm00001d027384,Zm00001d027386,256
399,Zm00001d027385,Zm00001d027386,257
399,Zm00001d027383,Zm00001d027387,258
399,Zm00001d027384,Zm00001d027387,259
399,Zm00001d027385,Zm00001d027387,260
399,Zm00001d027383,Zm00001d027388,261
399,Zm00001d027384,Zm00001d027388,262
399,Zm00001d027385,Zm00001d027388,263
399,Zm00001d027383,Zm00001d027388,264
399,Zm00001d027384,Zm00001d027388,265
399,Zm00001d027385,Zm00001d027388,266
399,Zm00001d027383,Zm00001d027389,267
399,Zm00001d027384,Zm00001d027389,268
399,Zm00001d027385,Zm00001d027389,269
399,Zm00001d027386,Zm00001d027389,270
399,Zm00001d027387,Zm00001d027389,271
399,Zm00001d027388,Zm00001d027389,272
399,Zm00001d027389,Zm00001d027391,273
399,Zm00001d027389,Zm00001d027392,274
399,Zm00001d027389,Zm00001d028595,275
399,Zm00001d027389,Zm00001d028596,276
399,Zm00001d027393,Zm00001d027394,277
399,Zm00001d027393,Zm00001d027395,278
399,Zm00001d027394,Zm00001d027399,279
399,Zm00001d027395,Zm00001d027399,280
399,Zm00001d027394,Zm00001d027400,281
399,Zm00001d027395,Zm00001d027400,282
399,Zm00001d027394,Zm00001d027402,283
399,Zm00001d027395,Zm00001d027402,284
399,Zm00001d027394,Zm00001d027401,285
399,Zm00001d027395,Zm00001d027401,286
399,Zm00001d027394,Zm00001d027404,287
399,Zm00001d027395,Zm00001d027404,288
399,Zm00001d027394,Zm00001d027405,289
399,Zm00001d027395,Zm00001d027405,290
399,Zm00001d027399,Zm00001d027402,291
399,Zm00001d027400,Zm00001d027402,292
399,Zm00001d027399,Zm00001d027401,293
399,Zm00001d027400,Zm00001d027401,294
399,Zm00001d027402,Zm00001d027403,295
399,Zm00001d027401,Zm00001d027403,296
399,Zm00001d027403,Zm00001d027404,297
399,Zm00001d027403,Zm00001d027405,298
399,Zm00001d027404,Zm00001d027409,299
399,Zm00001d027405,Zm00001d027409,300
399,Zm00001d027406,Zm00001d027409,301
399,Zm00001d027406,Zm00001d027411,302
399,Zm00001d027406,Zm00001d027412,303
399,Zm00001d027409,Zm00001d027411,304
399,Zm00001d027409,Zm00001d027412,305
399,Zm00001d027411,Zm00001d027416,306
399,Zm00001d027412,Zm00001d027416,307
399,Zm00001d027411,Zm00001d027417,308
399,Zm00001d027412,Zm00001d027417,309
399,Zm00001d027411,Zm00001d027415,310
399,Zm00001d027412,Zm00001d027415,311
399,Zm00001d027416,Zm00001d027419,312
399,Zm00001d027417,Zm00001d027419,313
399,Zm00001d027415,Zm00001d027419,314
399,Zm00001d027416,Zm00001d027421,315
399,Zm00001d027417,Zm00001d027421,316
399,Zm00001d027415,Zm00001d027421,317
399,Zm00001d027419,Zm00001d027422,318
399,Zm00001d027421,Zm00001d027422,319
399,Zm00001d027419,Zm00001d027423,320
399,Zm00001d027421,Zm00001d027423,321
399,Zm00001d027419,Zm00001d027428,322
399,Zm00001d027421,Zm00001d027428,323
399,Zm00001d027419,Zm00001d027429,324
399,Zm00001d027421,Zm00001d027429,325
399,Zm00001d027419,Zm00001d027427,326
399,Zm00001d027421,Zm00001d027427,327
399,Zm00001d027419,Zm00001d027430,328
399,Zm00001d027421,Zm00001d027430,329
399,Zm00001d027422,Zm00001d027428,330
399,Zm00001d027423,Zm00001d027428,331
399,Zm00001d027422,Zm00001d027429,332
399,Zm00001d027423,Zm00001d027429,333
399,Zm00001d027422,Zm00001d027427,334
399,Zm00001d027423,Zm00001d027427,335
399,Zm00001d027422,Zm00001d027430,336
399,Zm00001d027423,Zm00001d027430,337
399,Zm00001d027425,Zm00001d027428,338
399,Zm00001d027425,Zm00001d027429,339
399,Zm00001d027425,Zm00001d027427,340
399,Zm00001d027425,Zm00001d027430,341
399,Zm00001d027428,Zm00001d027431,342
399,Zm00001d027429,Zm00001d027431,343
399,Zm00001d027427,Zm00001d027431,344
399,Zm00001d027430,Zm00001d027431,345
399,Zm00001d027431,Zm00001d027434,346
399,Zm00001d027434,Zm00001d027435,347
399,Zm00001d027435,Zm00001d027436,348
399,Zm00001d027435,Zm00001d027437,349
399,Zm00001d027435,Zm00001d027439,350
399,Zm00001d027436,Zm00001d027439,351
399,Zm00001d027437,Zm00001d027439,352
399,Zm00001d027439,Zm00001d027441,353
399,Zm00001d027439,Zm00001d027442,354
399,Zm00001d027439,Zm00001d027440,355
399,Zm00001d027441,Zm00001d027443,356
399,Zm00001d027442,Zm00001d027443,357
399,Zm00001d027440,Zm00001d027443,358
399,Zm00001d027441,Zm00001d027444,359
399,Zm00001d027442,Zm00001d027444,360
399,Zm00001d027440,Zm00001d027444,361
399,Zm00001d027441,Zm00001d027445,362
399,Zm00001d027442,Zm00001d027445,363
399,Zm00001d027440,Zm00001d027445,364
399,Zm00001d027441,Zm00001d027446,365
399,Zm00001d027442,Zm00001d027446,366
399,Zm00001d027440,Zm00001d027446,367
399,Zm00001d027441,Zm00001d027447,368
399,Zm00001d027442,Zm00001d027447,369
399,Zm00001d027440,Zm00001d027447,370
399,Zm00001d027443,Zm00001d027445,371
399,Zm00001d027444,Zm00001d027445,372
399,Zm00001d027443,Zm00001d027446,373
399,Zm00001d027444,Zm00001d027446,374
399,Zm00001d027443,Zm00001d027447,375
399,Zm00001d027444,Zm00001d027447,376
399,Zm00001d027443,Zm00001d027448,377
399,Zm00001d027444,Zm00001d027448,378
399,Zm00001d027443,Zm00001d027449,379
399,Zm00001d027444,Zm00001d027449,380
399,Zm00001d027443,Zm00001d027450,381
399,Zm00001d027444,Zm00001d027450,382
399,Zm00001d027443,Zm00001d027451,383
399,Zm00001d027444,Zm00001d027451,384
399,Zm00001d027445,Zm00001d027448,385
399,Zm00001d027446,Zm00001d027448,386
399,Zm00001d027447,Zm00001d027448,387
399,Zm00001d027445,Zm00001d027449,388
399,Zm00001d027446,Zm00001d027449,389
399,Zm00001d027447,Zm00001d027449,390
399,Zm00001d027445,Zm00001d027450,391
399,Zm00001d027446,Zm00001d027450,392
399,Zm00001d027447,Zm00001d027450,393
399,Zm00001d027445,Zm00001d027451,394
399,Zm00001d027446,Zm00001d027451,395
399,Zm00001d027447,Zm00001d027451,396
399,Zm00001d027445,Zm00001d029165,397
399,Zm00001d027446,Zm00001d029165,398
399,Zm00001d027447,Zm00001d029165,399
399,Zm00001d027448,Zm00001d027453,400
399,Zm00001d027449,Zm00001d027453,401
399,Zm00001d027450,Zm00001d027453,402
399,Zm00001d027451,Zm00001d027453,403
399,Zm00001d027448,Zm00001d027454,404
399,Zm00001d027449,Zm00001d027454,405
399,Zm00001d027450,Zm00001d027454,406
399,Zm00001d027451,Zm00001d027454,407
399,Zm00001d027454,Zm00001d027455,408
399,Zm00001d027454,Zm00001d027456,409
399,Zm00001d027454,Zm00001d027457,410
399,Zm00001d027454,Zm00001d027458,411
399,Zm00001d027454,Zm00001d027459,412
399,Zm00001d027454,Zm00001d028810,413
399,Zm00001d027454,Zm00001d028811,414
399,Zm00001d027455,Zm00001d027456,415
399,Zm00001d027455,Zm00001d027457,416
399,Zm00001d027455,Zm00001d027458,417
399,Zm00001d027455,Zm00001d027459,418
399,Zm00001d027456,Zm00001d027457,419
399,Zm00001d027456,Zm00001d027458,420
399,Zm00001d027456,Zm00001d027459,421
399,Zm00001d027457,Zm00001d027459,422
399,Zm00001d027458,Zm00001d027459,423
399,Zm00001d027459,Zm00001d027459,424
399,Zm00001d027457,Zm00001d027462,425
399,Zm00001d027458,Zm00001d027462,426
399,Zm00001d027459,Zm00001d027462,427
399,Zm00001d027457,Zm00001d027460,428
399,Zm00001d027458,Zm00001d027460,429
399,Zm00001d027459,Zm00001d027460,430
399,Zm00001d027457,Zm00001d027461,431
399,Zm00001d027458,Zm00001d027461,432
399,Zm00001d027459,Zm00001d027461,433
399,Zm00001d027459,Zm00001d027462,434
399,Zm00001d027459,Zm00001d027460,435
399,Zm00001d027459,Zm00001d027461,436
399,Zm00001d027462,Zm00001d027464,437
399,Zm00001d027460,Zm00001d027464,438
399,Zm00001d027461,Zm00001d027464,439
399,Zm00001d027462,Zm00001d027463,440
399,Zm00001d027460,Zm00001d027463,441
399,Zm00001d027461,Zm00001d027463,442
399,Zm00001d027464,Zm00001d027466,443
399,Zm00001d027463,Zm00001d027466,444
399,Zm00001d027464,Zm00001d027467,445
399,Zm00001d027463,Zm00001d027467,446
399,Zm00001d027464,Zm00001d027468,447
399,Zm00001d027463,Zm00001d027468,448
26,Zm00001d027474,Zm00001d027475,451
26,Zm00001d027475,Zm00001d027477,452
26,Zm00001d027477,Zm00001d027480,453
26,Zm00001d027477,Zm00001d027481,454
26,Zm00001d027478,Zm00001d027480,455
26,Zm00001d027479,Zm00001d027480,456
26,Zm00001d027478,Zm00001d027481,457
26,Zm00001d027479,Zm00001d027481,458
26,Zm00001d027478,Zm00001d027483,459
26,Zm00001d027479,Zm00001d027483,460
26,Zm00001d027478,Zm00001d027484,461
26,Zm00001d027479,Zm00001d027484,462
26,Zm00001d027478,Zm00001d027486,463
26,Zm00001d027479,Zm00001d027486,464
26,Zm00001d027478,Zm00001d027485,465
26,Zm00001d027479,Zm00001d027485,466
26,Zm00001d027480,Zm00001d027483,467
26,Zm00001d027481,Zm00001d027483,468
26,Zm00001d027480,Zm00001d027484,469
26,Zm00001d027481,Zm00001d027484,470
26,Zm00001d027480,Zm00001d027486,471
26,Zm00001d027481,Zm00001d027486,472
26,Zm00001d027480,Zm00001d027485,473
26,Zm00001d027481,Zm00001d027485,474
26,Zm00001d027483,Zm00001d027486,475
26,Zm00001d027483,Zm00001d027485,476
26,Zm00001d027483,Zm00001d027487,477
26,Zm00001d027484,Zm00001d027486,478
26,Zm00001d027484,Zm00001d027485,479
26,Zm00001d027484,Zm00001d027487,480
26,Zm00001d027486,Zm00001d027487,481
26,Zm00001d027485,Zm00001d027487,482
26,Zm00001d027486,Zm00001d027488,483
26,Zm00001d027485,Zm00001d027488,484
26,Zm00001d027487,Zm00001d027488,485
26,Zm00001d027487,Zm00001d027489,486
26,Zm00001d027488,Zm00001d027489,487
26,Zm00001d027488,Zm00001d027490,488
26,Zm00001d027488,Zm00001d027489,489
26,Zm00001d027488,Zm00001d027499,490
26,Zm00001d027490,Zm00001d027492,491
26,Zm00001d027489,Zm00001d027492,492
26,Zm00001d027490,Zm00001d027493,493
26,Zm00001d027489,Zm00001d027493,494
26,Zm00001d027492,Zm00001d027499,495
26,Zm00001d027493,Zm00001d027499,496
28,Zm00001d027501,Zm00001d027505,497
28,Zm00001d027502,Zm00001d027505,498
28,Zm00001d027503,Zm00001d027505,499
28,Zm00001d027501,Zm00001d027504,500
28,Zm00001d027502,Zm00001d027504,501
28,Zm00001d027503,Zm00001d027504,502
28,Zm00001d027505,Zm00001d027506,503
28,Zm00001d027504,Zm00001d027506,504
28,Zm00001d027508,Zm00001d027509,505
28,Zm00001d027508,Zm00001d027510,506
28,Zm00001d027508,Zm00001d027511,507
28,Zm00001d027508,Zm00001d027512,508
28,Zm00001d027508,Zm00001d027513,509
28,Zm00001d027509,Zm00001d027511,510
28,Zm00001d027510,Zm00001d027511,511
28,Zm00001d027509,Zm00001d027512,512
28,Zm00001d027510,Zm00001d027512,513
28,Zm00001d027509,Zm00001d027513,514
28,Zm00001d027510,Zm00001d027513,515
28,Zm00001d027511,Zm00001d027514,516
28,Zm00001d027512,Zm00001d027514,517
28,Zm00001d027513,Zm00001d027514,518
28,Zm00001d027511,Zm00001d027520,519
28,Zm00001d027512,Zm00001d027520,520
28,Zm00001d027513,Zm00001d027520,521
28,Zm00001d027511,Zm00001d027523,522
28,Zm00001d027512,Zm00001d027523,523
28,Zm00001d027513,Zm00001d027523,524
28,Zm00001d027511,Zm00001d027524,525
28,Zm00001d027512,Zm00001d027524,526
28,Zm00001d027513,Zm00001d027524,527
28,Zm00001d027511,Zm00001d027522,528
28,Zm00001d027512,Zm00001d027522,529
28,Zm00001d027513,Zm00001d027522,530
28,Zm00001d027511,Zm00001d027525,531
28,Zm00001d027512,Zm00001d027525,532
28,Zm00001d027513,Zm00001d027525,533
28,Zm00001d027517,Zm00001d027518,534
28,Zm00001d027516,Zm00001d027518,535
28,Zm00001d027517,Zm00001d027519,536
28,Zm00001d027516,Zm00001d027519,537
28,Zm00001d027517,Zm00001d027523,538
28,Zm00001d027516,Zm00001d027523,539
28,Zm00001d027517,Zm00001d027524,540
28,Zm00001d027516,Zm00001d027524,541
28,Zm00001d027517,Zm00001d027522,542
28,Zm00001d027516,Zm00001d027522,543
28,Zm00001d027517,Zm00001d027525,544
28,Zm00001d027516,Zm00001d027525,545
28,Zm00001d027518,Zm00001d027519,546
28,Zm00001d027518,Zm00001d027520,547
28,Zm00001d027518,Zm00001d027523,548
28,Zm00001d027518,Zm00001d027524,549
28,Zm00001d027518,Zm00001d027522,550
28,Zm00001d027518,Zm00001d027525,551
28,Zm00001d027519,Zm00001d027520,552
28,Zm00001d027519,Zm00001d027523,553
28,Zm00001d027519,Zm00001d027524,554
28,Zm00001d027519,Zm00001d027522,555
28,Zm00001d027519,Zm00001d027525,556
28,Zm00001d027520,Zm00001d027523,557
28,Zm00001d027520,Zm00001d027524,558
28,Zm00001d027520,Zm00001d027522,559
28,Zm00001d027520,Zm00001d027525,560
28,Zm00001d027520,Zm00001d027532,561
28,Zm00001d027520,Zm00001d027533,562
28,Zm00001d027520,Zm00001d027534,563
28,Zm00001d027523,Zm00001d027527,564
28,Zm00001d027524,Zm00001d027527,565
28,Zm00001d027522,Zm00001d027527,566
28,Zm00001d027525,Zm00001d027527,567
28,Zm00001d027523,Zm00001d027535,568
28,Zm00001d027524,Zm00001d027535,569
28,Zm00001d027522,Zm00001d027535,570
28,Zm00001d027525,Zm00001d027535,571
28,Zm00001d027528,Zm00001d027532,572
28,Zm00001d027530,Zm00001d027532,573
28,Zm00001d027528,Zm00001d027533,574
28,Zm00001d027530,Zm00001d027533,575
28,Zm00001d027528,Zm00001d027534,576
28,Zm00001d027530,Zm00001d027534,577
28,Zm00001d027532,Zm00001d027532,578
28,Zm00001d027532,Zm00001d027533,579
28,Zm00001d027532,Zm00001d027534,580
28,Zm00001d027532,Zm00001d027535,581
28,Zm00001d027533,Zm00001d027535,582
28,Zm00001d027534,Zm00001d027535,583
15,Zm00001d027541,Zm00001d027544,586
15,Zm00001d027540,Zm00001d027544,587
15,Zm00001d027544,Zm00001d027549,588
15,Zm00001d027544,Zm00001d027550,589
15,Zm00001d027544,Zm00001d027548,590
15,Zm00001d027546,Zm00001d027549,591
15,Zm00001d027546,Zm00001d027550,592
15,Zm00001d027546,Zm00001d027548,593
15,Zm00001d027549,Zm00001d027554,594
15,Zm00001d027550,Zm00001d027554,595
15,Zm00001d027548,Zm00001d027554,596
15,Zm00001d027549,Zm00001d027555,597
15,Zm00001d027550,Zm00001d027555,598
15,Zm00001d027548,Zm00001d027555,599
15,Zm00001d027549,Zm00001d027556,600
15,Zm00001d027550,Zm00001d027556,601
15,Zm00001d027548,Zm00001d027556,602
15,Zm00001d027554,Zm00001d027557,603
15,Zm00001d027555,Zm00001d027557,604
15,Zm00001d027556,Zm00001d027557,605
15,Zm00001d027554,Zm00001d027558,606
15,Zm00001d027555,Zm00001d027558,607
15,Zm00001d027556,Zm00001d027558,608
15,Zm00001d027558,Zm00001d027570,609
15,Zm00001d027558,Zm00001d027571,610
15,Zm00001d027570,Zm00001d027572,611
15,Zm00001d027571,Zm00001d027572,612
15,Zm00001d027570,Zm00001d027573,613
15,Zm00001d027571,Zm00001d027573,614
21,Zm00001d027580,Zm00001d027585,615
21,Zm00001d027582,Zm00001d027585,616
21,Zm00001d027581,Zm00001d027585,617
21,Zm00001d027580,Zm00001d027588,618
21,Zm00001d027582,Zm00001d027588,619
21,Zm00001d027581,Zm00001d027588,620
21,Zm00001d027583,Zm00001d027585,621
21,Zm00001d027588,Zm00001d027589,622
21,Zm00001d027588,Zm00001d027590,623
21,Zm00001d027589,Zm00001d027593,624
21,Zm00001d027590,Zm00001d027593,625
21,Zm00001d027589,Zm00001d027595,626
21,Zm00001d027590,Zm00001d027595,627
21,Zm00001d027589,Zm00001d027596,628
21,Zm00001d027590,Zm00001d027596,629
21,Zm00001d027589,Zm00001d027597,630
21,Zm00001d027590,Zm00001d027597,631
21,Zm00001d027589,Zm00001d027598,632
21,Zm00001d027590,Zm00001d027598,633
21,Zm00001d027593,Zm00001d027595,634
21,Zm00001d027593,Zm00001d027596,635
21,Zm00001d027593,Zm00001d027597,636
21,Zm00001d027593,Zm00001d027598,637
21,Zm00001d027595,Zm00001d027610,638
21,Zm00001d027596,Zm00001d027610,639
21,Zm00001d027597,Zm00001d027610,640
21,Zm00001d027598,Zm00001d027610,641
21,Zm00001d027595,Zm00001d027611,642
21,Zm00001d027596,Zm00001d027611,643
21,Zm00001d027597,Zm00001d027611,644
21,Zm00001d027598,Zm00001d027611,645
21,Zm00001d027595,Zm00001d027618,646
21,Zm00001d027596,Zm00001d027618,647
21,Zm00001d027597,Zm00001d027618,648
21,Zm00001d027598,Zm00001d027618,649
21,Zm00001d027595,Zm00001d027619,650
21,Zm00001d027596,Zm00001d027619,651
21,Zm00001d027597,Zm00001d027619,652
21,Zm00001d027598,Zm00001d027619,653
21,Zm00001d027595,Zm00001d027616,654
21,Zm00001d027596,Zm00001d027616,655
21,Zm00001d027597,Zm00001d027616,656
21,Zm00001d027598,Zm00001d027616,657
21,Zm00001d027610,Zm00001d027612,659
21,Zm00001d027611,Zm00001d027612,660
21,Zm00001d027610,Zm00001d027613,661
