Gene,Expression
MH01g0010000,39.7746
MH01g0010100,47.7935
MH01g0010200,0
MH01g0010300,0
MH01g0010400,0.186583
MH01g0010500,1.6229
MH01g0010600,37.6788
MH01g0010700,6.83218
MH01g0010800,0
MH01g0010900,0
MH01g0011000,28.4461
MH01g0011100,3.01257
MH01g0011200,1.11484
MH01g0011300,0
MH01g0011400,0
MH01g0011500,0
MH01g0011600,0
MH01g0011700,0
MH01g0011800,37.7679
MH01g0011900,0.126291
MH01g0012000,10.1558
MH01g0012100,82.4716
MH01g0012200,78.3171
MH01g0012300,6.38288
MH01g0012400,0
MH01g0012500,2.6453
MH01g0012600,4352.05
MH01g0012700,12.8445
MH01g0012800,2.55358
MH01g0012900,93.0411
MH01g0013000,8.11197
MH01g0013100,2.4705
MH01g0013200,17.5616
MH01g0013300,0.429814
MH01g0013400,14.3153
MH01g0013500,41.3709
MH01g0013600,1.84086
MH01g0013700,0
MH01g0013800,10.7276
MH01g0013900,187.11
MH01g0014000,0
MH01g0014100,0.192451
MH01g0014200,0
MH01g0014300,16.625
MH01g0014400,17.934
MH01g0014500,8.28711
MH01g0014600,0
MH01g0014700,0
MH01g0014800,0.384503
MH01g0014900,1.11766
MH01g0015000,0.824381
MH01g0015100,0.468141
MH01g0015200,61.2018
MH01g0015300,0
MH01g0015400,29.6302
MH01g0015500,38.7421
MH01g0015600,27.3433
MH01g0015700,13.0179
MH01g0015800,3.07599
MH01g0015900,10.9202
MH01g0016000,8.30457
MH01g0016100,109.555
MH01g0016200,28.1037
MH01g0016300,0.995836
MH01g0016400,0
MH01g0016500,4.98649
MH01g0016600,0
MH01g0016700,0.852776
MH01g0016800,4.15499
MH01g0016900,66.907
MH01g0017000,21.2651
MH01g0017100,7.41969
MH01g0017200,0.0336605
MH01g0017300,0.0234202
MH01g0017400,24.4706
MH01g0017500,4.17855
MH01g0017600,0
MH01g0017700,19.1014
MH01g0017800,0
MH01g0017900,14.5532
MH01g0018000,0.429078
MH01g0018100,0.296308
MH01g0018200,62.1286
MH01g0018300,11.9961
MH01g0018400,1.12148
MH01g0018500,28.2201
MH01g0018600,28.5416
MH01g0018700,8.83596
MH01g0018800,0.749085
MH01g0018900,14.6678
MH01g0019000,9.07555
MH01g0019100,34.1778
MH01g0019200,6.00317
MH01g0019300,0
MH01g0029300,0.346684
MH01g0029400,0.901528
MH01g0029500,0
MH01g0029600,0.0156093
MH01g0029700,0.414239
MH01g0029800,0.413921
MH01g0029900,2.41923
MH01g0030000,0
MH01g0030100,2.02166
MH01g0030200,0.877506
MH01g0030300,0.53832
MH01g0030400,0
MH01g0030500,0
MH01g0030600,0.207252
MH01g0030700,13.4785
MH01g0030800,1.6156
MH01g0030900,0.124338
MH01g0031000,10.9308
MH01g0031100,10.8774
MH01g0031200,0.11386
MH01g0031300,1.75455
MH01g0031400,13.0316
MH01g0031500,1.65433
MH01g0031600,0.971855
MH01g0031700,0.552662
MH01g0031800,1.73428
MH01g0031900,4.79465
MH01g0032000,0.0072045
MH01g0032100,0
MH01g0032200,0
MH01g0032300,2.77372
MH01g0032400,0
MH01g0032500,0
MH01g0032600,0
MH01g0032700,0
MH01g0032800,5.25024
MH01g0032900,1.67418
MH01g0033000,0
MH01g0033100,1.35112
MH01g0033200,0.413698
MH01g0033300,0.551482
MH01g0033400,0
MH01g0033500,0
MH01g0033600,15.4355
MH01g0033700,21.3957
MH01g0033800,0
MH01g0033900,0.257472
MH01g0034000,0.541872
MH01g0034100,5.80913
MH01g0034200,2.71972
MH01g0034300,0.766942
MH01g0034400,0
MH01g0034500,20.1833
MH01g0034500,2.23904
MH01g0034600,1.8556
MH01g0034700,4.34632
MH01g0034800,2.739
MH01g0034900,8.35524
MH01g0035000,1.98741
MH01g0035100,1.73058
MH01g0035200,4.63446
MH01g0035300,51.1744
MH01g0035400,24.4462
MH01g0035500,16.4142
MH01g0035600,3.97636
MH01g0035700,18.606
MH01g0035800,0
MH01g0035900,0
MH01g0036000,3.8221
MH01g0036100,17.2103
MH01g0036200,3.05042
MH01g0036300,19.9479
MH01g0036400,0
MH01g0036500,5.5697
MH01g0036600,0
MH01g0036700,0
MH01g0036800,0
MH01g0036900,0
MH01g0037000,0
MH01g0037100,0
MH01g0037200,0
MH01g0037300,44.1663
MH01g0037400,6.40331
MH01g0037500,24.0745
MH01g0037600,6.27214
MH01g0037700,22.3041
MH01g0037800,47.086
MH01g0037900,0.305174
MH01g0038000,26.0001
MH01g0038100,4.63582
MH01g0038200,24.4072
MH01g0038300,2.15978
MH01g0038400,7.44576
MH01g0038500,29.7929
MH01g0038600,8.56127
MH01g0038700,0.0220804
MH01g0038800,8.7391
MH01g0038900,0
MH01g0039000,0.247983
MH01g0039100,0.607825
MH01g0039200,0
MH01g0039300,0
MH01g0039400,0
MH01g0039500,0
MH01g0039600,0
MH01g0039700,0.0397603
MH01g0039800,0
MH01g0039900,0
MH01g0040000,0
MH01g0040100,0.111455
MH01g0040200,0.752482
MH01g0040300,0.602009
MH01g0040400,549.875
MH01g0040500,43.4345
MH01g0040600,1.17382
MH01g0040700,48.5953
MH01g0040800,0.0121119
MH01g0040900,19.8408
MH01g0041000,0
MH01g0041100,0
MH01g0041200,0
MH01g0041300,0
MH01g0041400,0
MH01g0041500,0
MH01g0041600,1.92483
MH01g0041700,6.90002
MH01g0041800,1.82065
MH01g0041900,17.8006
MH01g0042000,19.2422
MH01g0042100,0.635132
MH01g0042200,5.7119
MH01g0042300,0
MH01g0042400,0
MH01g0042500,0
MH01g0042600,0
MH01g0042700,0
MH01g0042800,0
MH01g0042900,0
MH01g0043000,0
MH01g0043100,0.390131
MH01g0043200,0.011146
MH01g0043300,22.711
