Gene,Expression
ZS01g0010000,8.95718
ZS01g0010100,1.92371
ZS01g0010200,12.5262
ZS01g0010300,63.618
ZS01g0010400,16.3796
ZS01g0010500,44.3864
ZS01g0010600,0.015618
ZS01g0010700,0
ZS01g0010800,0
ZS01g0010900,0
ZS01g0011000,6.83096
ZS01g0011100,4.8056
ZS01g0011200,0
ZS01g0011300,22.8224
ZS01g0011400,2.90929
ZS01g0011500,0.851958
ZS01g0011600,0
ZS01g0011700,0
ZS01g0011800,0
ZS01g0011900,0
ZS01g0012000,0
ZS01g0012100,0
ZS01g0012200,14.8949
ZS01g0012300,3.43555
ZS01g0012400,5.94683
ZS01g0012500,82.37
ZS01g0012600,61.4636
ZS01g0012700,8.64773
ZS01g0012800,0
ZS01g0012900,0
ZS01g0013000,3577.72
ZS01g0013100,8.63143
ZS01g0013200,2.62145
ZS01g0013300,0
ZS01g0013400,19.1412
ZS01g0013500,4.93264
ZS01g0013600,0.903224
ZS01g0013700,11.8677
ZS01g0013800,0.320877
ZS01g0013900,13.1696
ZS01g0014000,36.2664
ZS01g0014100,0.606838
ZS01g0014200,0
ZS01g0014300,54.4652
ZS01g0014400,0
ZS01g0014500,0
ZS01g0014600,0.147574
ZS01g0014700,10.6462
ZS01g0014800,13.9266
ZS01g0014900,7.21674
ZS01g0015000,0
ZS01g0015100,0
ZS01g0015200,0
ZS01g0015300,0.0141931
ZS01g0015400,0
ZS01g0015500,0
ZS01g0015600,0
ZS01g0015700,0.328554
ZS01g0015800,0.952958
ZS01g0015900,42.9786
ZS01g0016000,0.622316
ZS01g0016100,4.48333
ZS01g0016200,25.4918
ZS01g0016300,8.99514
ZS01g0016400,0
ZS01g0016500,0.509012
ZS01g0016600,14.4887
ZS01g0016700,3.73449
ZS01g0016800,10.0006
ZS01g0016900,6.79498
ZS01g0017000,89.6507
ZS01g0017100,27.9181
ZS01g0017200,0
ZS01g0017300,5.43679
ZS01g0017400,0.870046
ZS01g0017500,3.16277
ZS01g0017600,66.2094
ZS01g0017700,14.5492
ZS01g0017800,21.1312
ZS01g0017900,0.188978
ZS01g0018000,24.7543
ZS01g0018100,3.43026
ZS01g0018200,0
ZS01g0018300,26.3422
ZS01g0018400,14.8513
ZS01g0018500,0
ZS01g0018600,3.00244
ZS01g0018700,0.328526
ZS01g0018800,54.7478
ZS01g0018900,11.7991
ZS01g0019000,0
ZS01g0019100,0
ZS01g0019200,1.01585
ZS01g0019300,23.7161
ZS01g0019400,0
ZS01g0019500,0
ZS01g0019600,0
ZS01g0019700,20.5678
ZS01g0019800,8.33946
ZS01g0019900,0.219003
ZS01g0020000,12.8923
ZS01g0020100,0.142593
ZS01g0020200,12.957
ZS01g0020300,28.1917
