Annotation1,exp
TraesCS4D02G278000,0.0
TraesCS1A02G406100,0.0
TraesCS7D02G473800,0.0
TraesCS6A02G069500,36.8
TraesCS7B02G157400,0.0
TraesCS5D02G463100,3.6
TraesCS2D02G184100,0.01
TraesCS5A02G496000,0.18
TraesCS3A02G536600,0.0
TraesCS3A02G020300,7.77
TraesCS7B02G149800,0.56
TraesCS6D02G330400,0.0
TraesCS4D02G002500,1.19
TraesCS5B02G166400,17.83
TraesCS2D02G226200,5.97
TraesCS4B02G268800,1.67
TraesCS5A02G266900,2.49
TraesCS7B02G442900,0.76
TraesCS1B02G299500,2.8
TraesCS7B02G389400,0.0
TraesCS7A02G523500,0.0
TraesCS4B02G353200,0.0
TraesCS3B02G123000,8.26
TraesCS3A02G521300,2.56
TraesCS2A02G118300,0.07
TraesCS6A02G312800,0.15
TraesCS3A02G049371,0.05
TraesCS4B02G342715,0.0
TraesCS2D02G055700,0.0
TraesCS5A02G064100,0.0
TraesCS6B02G212400,0.0
TraesCS7D02G110800,1.49
TraesCS4D02G230600,0.3
TraesCS7D02G482100,0.12
TraesCS2A02G304700,0.04
TraesCS7D02G336800,3.82
TraesCS1A02G069500,0.08
TraesCS5A02G397900,4.22
TraesCS4D02G015900,0.26
TraesCS7A02G096300,2.96
TraesCS2A02G317300,0.22
TraesCS1D02G327700,5.15
TraesCS3A02G454000,0.02
TraesCS5A02G263700,0.08
TraesCS4D02G344200,2.06
TraesCS7D02G180700,0.04
TraesCS4A02G368300,0.0
TraesCS2B02G502700,0.0
TraesCS5B02G090900,0.51
TraesCS3D02G360700,0.09
TraesCS5A02G032500,0.06
TraesCS5B02G360800,0.0
TraesCS3D02G367400,2.24
TraesCS1B02G041500,0.0
TraesCS6D02G244900,2.22
TraesCS7D02G126600,0.0
TraesCS2A02G309200,20.01
TraesCS3D02G104600,0.02
TraesCS1D02G415400,1.74
TraesCS5B02G071000,0.07
TraesCS5B02G262700,0.48
TraesCS1D02G425400,0.33
TraesCS6B02G294900,0.0
TraesCS6A02G378900,0.01
TraesCS1A02G344900,0.24
TraesCS3D02G467900,0.0
TraesCS2B02G459500,0.0
TraesCS5B02G074300,1.21
TraesCS4A02G075700,0.02
TraesCS7B02G150500,6.83
TraesCS6A02G234500,0.3
TraesCS2D02G091700,0.05
TraesCS2B02G278400,0.57
TraesCS7A02G225800,11.87
TraesCS2D02G266700,1.48
TraesCS7D02G140600,0.0
TraesCS2D02G561500,0.17
TraesCS3A02G090100,4.26
TraesCS2B02G063600,0.51
TraesCS2B02G524900,0.0
TraesCS7D02G337300,1.19
TraesCS1B02G046500,0.0
TraesCS5A02G413300,12.21
TraesCS2A02G006200,0.0
TraesCS2B02G289500,7.24
TraesCS3D02G270100,73.64
TraesCS5D02G362200,0.57
TraesCS5B02G557600,0.09
TraesCS1D02G299100,0.0
TraesCS3A02G148000,1.29
TraesCS3B02G595400,0.01
TraesCS2B02G485000,0.98
TraesCS3B02G309700,1.26
TraesCS2B02G183400,0.13
TraesCS4A02G431100,0.0
TraesCS5D02G487500,0.0
TraesCS7A02G221800,0.38
TraesCS7D02G475200,0.0
TraesCS7D02G384400,0.0
TraesCS5A02G098900,0.11
TraesCS1A02G420800,4.7
TraesCS4A02G323000,1.59
TraesCS3B02G133100,0.01
TraesCS6D02G235000,10.15
TraesCS3A02G508200,0.0
TraesCS3D02G110300,0.03
TraesCS1B02G115600,0.0
