Annotation1,Annotation2,ID
Zm00001d027254,Zm00001d027257,0
Zm00001d027254,Zm00001d027259,1
Zm00001d027257,Zm00001d027267,2
Zm00001d022649,Zm00001d027259,3
Zm00001d027259,Zm00001d027278,4
Zm00001d027259,Zm00001d027265,5
Zm00001d027259,Zm00001d027277,6
Zm00001d027268,Zm00001d027271,7
Zm00001d027268,Zm00001d027278,8
Zm00001d027271,Zm00001d027278,9
Zm00001d027271,Zm00001d027273,10
Zm00001d027277,Zm00001d027278,11
Zm00001d027278,Zm00001d027285,12
Zm00001d027278,Zm00001d027291,13
Zm00001d027283,Zm00001d027291,14
Zm00001d027283,Zm00001d027285,15
Zm00001d027285,Zm00001d027293,16
ENSRNA049464979,Zm00001d027289,17
ENSRNA049464979,Zm00001d027293,18
Zm00001d027291,Zm00001d027292,19
Zm00001d027293,Zm00001d027317,20
Zm00001d027293,Zm00001d027296,21
Zm00001d027293,Zm00001d027299,22
Zm00001d027296,Zm00001d027299,23
Zm00001d027299,Zm00001d027302,24
Zm00001d027299,Zm00001d027300,25
Zm00001d027300,Zm00001d027302,26
Zm00001d027318,Zm00001d027412,27
Zm00001d027318,Zm00001d027320,28
Zm00001d027322,Zm00001d027324,29
Zm00001d027329,Zm00001d027333,30
Zm00001d027329,Zm00001d027334,31
Zm00001d027334,Zm00001d027339,32
Zm00001d027334,Zm00001d027346,33
Zm00001d027339,Zm00001d027340,34
Zm00001d027342,Zm00001d027346,35
Zm00001d027342,Zm00001d027350,36
Zm00001d027346,Zm00001d027354,37
Zm00001d027347,Zm00001d027349,38
Zm00001d027350,Zm00001d027354,39
Zm00001d022654,Zm00001d027352,40
Zm00001d027352,Zm00001d027354,41
Zm00001d027352,Zm00001d027359,42
Zm00001d027359,Zm00001d027361,43
Zm00001d027359,Zm00001d027362,44
Zm00001d027365,Zm00001d027371,45
Zm00001d027395,Zm00001d027399,46
Zm00001d027402,Zm00001d027405,47
Zm00001d027402,Zm00001d027403,48
Zm00001d027402,Zm00001d027406,49
Zm00001d027403,Zm00001d027405,50
Zm00001d027406,Zm00001d027409,51
Zm00001d027406,Zm00001d027416,52
Zm00001d027412,Zm00001d027425,53
Zm00001d027412,Zm00001d027446,54
Zm00001d027412,Zm00001d027415,55
Zm00001d027412,Zm00001d027430,56
Zm00001d027415,Zm00001d027472,57
Zm00001d027419,Zm00001d027447,58
Zm00001d027423,Zm00001d027425,59
Zm00001d027423,Zm00001d027427,60
Zm00001d022658,Zm00001d027427,61
Zm00001d027430,Zm00001d027441,62
Zm00001d022659,Zm00001d027434,63
Zm00001d027434,Zm00001d027441,64
Zm00001d027437,Zm00001d027439,65
Zm00001d027441,Zm00001d027548,66
Zm00001d027441,Zm00001d027444,67
Zm00001d027451,Zm00001d022661,68
Zm00001d027456,Zm00001d027457,69
Zm00001d027459,Zm00001d027460,70
Zm00001d027459,Zm00001d027466,71
Zm00001d027462,Zm00001d027484,72
Zm00001d027462,ENSRNA049437518,73
Zm00001d027468,Zm00001d027472,74
Zm00001d027471,Zm00001d027472,75
Zm00001d027472,Zm00001d027479,76
Zm00001d027475,Zm00001d027478,77
Zm00001d027487,Zm00001d027489,78
Zm00001d027503,Zm00001d027504,79
Zm00001d027503,Zm00001d022663,80
Zm00001d027504,Zm00001d022663,81
Zm00001d027505,Zm00001d027512,82
Zm00001d027509,Zm00001d027511,83
Zm00001d027515,Zm00001d027517,84
Zm00001d027517,Zm00001d027523,85
Zm00001d027517,Zm00001d027519,86
Zm00001d027520,Zm00001d027523,87
Zm00001d027523,Zm00001d027532,88
Zm00001d027523,Zm00001d027571,89
Zm00001d027524,Zm00001d027544,90
Zm00001d027524,Zm00001d027548,91
Zm00001d027524,Zm00001d027557,92
Zm00001d027525,Zm00001d027527,93
Zm00001d027530,Zm00001d027532,94
Zm00001d027532,Zm00001d027548,95
Zm00001d027535,Zm00001d027536,96
Zm00001d027541,Zm00001d022664,97
Zm00001d027548,Zm00001d027585,98
Zm00001d027558,Zm00001d027569,99
Zm00001d027558,Zm00001d027570,100
Zm00001d027569,Zm00001d027570,101
Zm00001d027582,Zm00001d027587,102
Zm00001d027582,Zm00001d027588,103
Zm00001d027582,Zm00001d027596,104
Zm00001d027587,Zm00001d027588,105
Zm00001d027587,Zm00001d027596,106
Zm00001d027593,Zm00001d027595,107
Zm00001d027598,Zm00001d027611,108
Zm00001d027598,Zm00001d027607,109
Zm00001d027598,Zm00001d027618,110
Zm00001d027599,Zm00001d027605,111
Zm00001d027605,Zm00001d027611,112
Zm00001d027613,Zm00001d027619,113
Zm00001d027619,Zm00001d027637,114
Zm00001d027619,Zm00001d027621,115
Zm00001d027621,Zm00001d027622,116
Zm00001d027623,Zm00001d027624,117
Zm00001d027625,Zm00001d027685,118
Zm00001d027625,Zm00001d027626,119
Zm00001d027625,Zm00001d027628,120
Zm00001d027626,Zm00001d027637,121
Zm00001d027626,Zm00001d027723,122
Zm00001d027626,Zm00001d027628,123
Zm00001d027630,Zm00001d027637,124
Zm00001d027631,Zm00001d027633,125
Zm00001d027634,Zm00001d027665,126
Zm00001d027637,Zm00001d027638,127
Zm00001d027637,Zm00001d027641,128
Zm00001d027648,ENSRNA049437607,129
ENSRNA049437607,Zm00001d027652,130
Zm00001d027652,Zm00001d027684,131
Zm00001d027652,Zm00001d027756,132
Zm00001d027657,Zm00001d027665,133
Zm00001d027657,Zm00001d027665,134
Zm00001d022669,Zm00001d027667,135
Zm00001d027668,Zm00001d027679,136
Zm00001d027676,Zm00001d027679,137
Zm00001d027680,Zm00001d027683,138
Zm00001d027680,Zm00001d022672,139
Zm00001d022672,Zm00001d027683,140
Zm00001d027685,Zm00001d027731,141
Zm00001d027685,Zm00001d027709,142
Zm00001d027688,Zm00001d027696,143
Zm00001d027701,Zm00001d027723,144
Zm00001d027703,Zm00001d027706,145
Zm00001d027706,Zm00001d027714,146
Zm00001d027707,Zm00001d027709,147
Zm00001d027707,Zm00001d027711,148
Zm00001d027707,Zm00001d027715,149
Zm00001d027707,Zm00001d027721,150
Zm00001d027709,Zm00001d027728,151
