ChIN,Annotation1,Annotation2,ID
4,Zm00001d027230,Zm00001d027231,0
5,Zm00001d027230,Zm00001d027231,1
6,Zm00001d027240,Zm00001d024374,2
3,Zm00001d027240,Zm00001d018241,3
3,Zm00001d027240,Zm00001d018242,4
6,Zm00001d027256,Zm00001d022649,5
18,Zm00001d027256,Zm00001d022649,6
6,Zm00001d027256,Zm00001d022649,7
3,Zm00001d027258,Zm00001d027259,8
3,Zm00001d027259,Zm00001d027265,9
36,Zm00001d027265,Zm00001d027266,10
3,Zm00001d027265,Zm00001d027266,11
6,Zm00001d027265,Zm00001d022650,12
6,Zm00001d027265,Zm00001d027267,13
4,Zm00001d027266,Zm00001d027268,14
7,Zm00001d022650,Zm00001d027268,15
7,Zm00001d027266,Zm00001d027268,16
4,Zm00001d022650,Zm00001d027268,17
4,Zm00001d027266,Zm00001d027268,18
3,Zm00001d022650,Zm00001d027268,19
3,Zm00001d027266,Zm00001d027268,20
118,Zm00001d022650,Zm00001d027271,21
118,Zm00001d027267,Zm00001d027271,22
118,Zm00001d027268,Zm00001d027271,23
3,Zm00001d022650,Zm00001d001240,24
3,Zm00001d027267,Zm00001d001240,25
5,Zm00001d027285,ENSRNA049464979,26
5,Zm00001d027285,Zm00001d027288,27
3,Zm00001d027285,ENSRNA049464979,28
3,Zm00001d027285,Zm00001d027288,29
5,Zm00001d027286,Zm00001d027291,30
12,ENSRNA049464979,Zm00001d027291,31
12,Zm00001d027288,Zm00001d027291,32
4,ENSRNA049464979,Zm00001d027291,33
4,Zm00001d027288,Zm00001d027291,34
4,Zm00001d022652,Zm00001d027291,35
5,Zm00001d022652,Zm00001d027291,36
5,Zm00001d027289,Zm00001d027291,37
3,Zm00001d027292,Zm00001d027296,38
4,Zm00001d027292,Zm00001d027293,39
4,Zm00001d027292,Zm00001d027293,40
3,Zm00001d027292,Zm00001d027293,41
3,Zm00001d027295,Zm00001d027296,42
39,Zm00001d027296,Zm00001d027298,43
4,Zm00001d027296,Zm00001d027298,44
121,Zm00001d027298,Zm00001d022653,45
121,Zm00001d027298,Zm00001d027299,46
63,Zm00001d027298,Zm00001d022653,47
63,Zm00001d027298,Zm00001d027299,48
5,Zm00001d022653,Zm00001d027302,49
5,Zm00001d027299,Zm00001d027302,50
4,Zm00001d027302,Zm00001d027304,51
3,Zm00001d027302,Zm00001d027304,52
3,Zm00001d027304,Zm00001d025222,53
3,Zm00001d027309,Zm00001d027311,54
4,Zm00001d027312,Zm00001d027315,55
4,Zm00001d027312,Zm00001d027314,56
3,Zm00001d027313,Zm00001d027314,57
11,Zm00001d027314,Zm00001d027318,58
11,Zm00001d027315,Zm00001d027318,59
6,Zm00001d027314,Zm00001d027318,60
3,Zm00001d027314,Zm00001d027319,61
3,Zm00001d027315,Zm00001d027320,62
3,ENSRNA049437471,Zm00001d027318,63
3,Zm00001d027315,Zm00001d027318,64
3,Zm00001d027316,Zm00001d027318,65
27,ENSRNA049437471,Zm00001d027318,66
27,Zm00001d027316,Zm00001d027318,67
27,Zm00001d027317,Zm00001d027318,68
3,Zm00001d027317,Zm00001d027319,69
24,Zm00001d027318,Zm00001d027320,70
24,Zm00001d027318,Zm00001d027321,71
5,Zm00001d027318,Zm00001d027321,72
22,Zm00001d027318,Zm00001d027319,73
4,Zm00001d027318,Zm00001d027320,74
41,Zm00001d027319,Zm00001d027321,75
20,Zm00001d027319,Zm00001d027320,76
4,Zm00001d027319,Zm00001d027321,77
3,Zm00001d027319,Zm00001d027322,78
9,Zm00001d027321,Zm00001d027320,79
11,Zm00001d027321,Zm00001d027322,80
5,Zm00001d027321,Zm00001d027324,81
8,Zm00001d027321,Zm00001d027322,82
3,Zm00001d027321,Zm00001d027322,83
4,Zm00001d027321,Zm00001d027322,84
36,Zm00001d027320,Zm00001d027324,85
36,Zm00001d027322,Zm00001d027324,86
3,Zm00001d027320,Zm00001d027325,87
4,Zm00001d027320,Zm00001d027347,88
4,Zm00001d027320,Zm00001d027324,89
3,Zm00001d027320,Zm00001d027323,90
6,Zm00001d027320,Zm00001d027323,91
15,Zm00001d027322,Zm00001d027324,92
3,Zm00001d027322,Zm00001d027323,93
4,Zm00001d027322,Zm00001d027323,94
8,Zm00001d027322,Zm00001d027323,95
26,Zm00001d027322,Zm00001d027324,96
13,Zm00001d027323,Zm00001d027324,97
6,Zm00001d027323,Zm00001d027324,98
3,Zm00001d027323,ENSRNA049437473,99
3,Zm00001d027323,Zm00001d027326,100
3,Zm00001d027323,Zm00001d027327,101
3,Zm00001d027323,Zm00001d027324,102
55,Zm00001d027324,Zm00001d027325,103
51,Zm00001d027324,Zm00001d027325,104
21,Zm00001d027324,Zm00001d027325,105
6,Zm00001d027324,Zm00001d027325,106
4,Zm00001d027325,Zm00001d027326,107
7,Zm00001d027325,Zm00001d027326,108
3,Zm00001d027325,Zm00001d027326,109
22,ENSRNA049437473,Zm00001d027329,110
22,Zm00001d027326,Zm00001d027329,111
22,Zm00001d027327,Zm00001d027329,112
4,ENSRNA049437473,Zm00001d027329,113
4,Zm00001d027326,Zm00001d027329,114
4,Zm00001d027327,Zm00001d027329,115
3,Zm00001d027329,Zm00001d027333,116
3,Zm00001d027329,Zm00001d045483,117
3,Zm00001d027329,Zm00001d027334,118
4,Zm00001d027329,Zm00001d027330,119
95,Zm00001d027333,Zm00001d027334,120
89,Zm00001d027333,Zm00001d027334,121
4,Zm00001d027334,Zm00001d027338,122
4,Zm00001d027337,Zm00001d027340,123
79,Zm00001d027338,Zm00001d027340,124
79,Zm00001d027339,Zm00001d027340,125
8,Zm00001d027338,Zm00001d027340,126
8,Zm00001d027339,Zm00001d027340,127
4,Zm00001d027339,Zm00001d027341,128
171,Zm00001d027340,Zm00001d027341,129
3,Zm00001d027340,Zm00001d027341,130
172,Zm00001d027340,Zm00001d027341,131
3,Zm00001d027341,Zm00001d027345,132
5,Zm00001d027341,Zm00001d027345,133
5,Zm00001d027341,Zm00001d027346,134
4,Zm00001d027341,Zm00001d027345,135
3,Zm00001d027341,Zm00001d013004,136
4,Zm00001d027341,Zm00001d027345,137
4,Zm00001d027341,Zm00001d027346,138
5,Zm00001d027341,Zm00001d027345,139
5,Zm00001d027342,Zm00001d027345,140
5,Zm00001d027341,Zm00001d027346,141
5,Zm00001d027342,Zm00001d027346,142
3,Zm00001d027341,Zm00001d027345,143
3,Zm00001d027341,Zm00001d027346,144
6,Zm00001d027341,Zm00001d027344,145
6,Zm00001d027342,Zm00001d027344,146
8,Zm00001d027342,Zm00001d027345,147
8,Zm00001d027342,Zm00001d027346,148
3,Zm00001d027342,Zm00001d027343,149
3,Zm00001d027343,Zm00001d027349,150
7,Zm00001d027343,Zm00001d027345,151
7,Zm00001d027344,Zm00001d027345,152
7,Zm00001d027343,Zm00001d027346,153
7,Zm00001d027344,Zm00001d027346,154
7,Zm00001d027344,Zm00001d027347,155
146,Zm00001d027345,Zm00001d027348,156
146,Zm00001d027346,Zm00001d027348,157
146,Zm00001d027347,Zm00001d027348,158
146,Zm00001d027345,Zm00001d027349,159
146,Zm00001d027346,Zm00001d027349,160
146,Zm00001d027347,Zm00001d027349,161
36,Zm00001d027348,Zm00001d022654,162
36,Zm00001d027348,Zm00001d027350,163
3,Zm00001d027348,Zm00001d022654,164
3,Zm00001d027348,Zm00001d027350,165
3,Zm00001d027349,Zm00001d027351,166
3,Zm00001d027349,Zm00001d027353,167
5,Zm00001d027349,Zm00001d022654,168
5,Zm00001d027349,Zm00001d027350,169
11,Zm00001d027349,Zm00001d027351,170
6,Zm00001d027349,Zm00001d027351,171
137,Zm00001d022654,Zm00001d027351,172
137,Zm00001d027349,Zm00001d027351,173
137,Zm00001d027350,Zm00001d027351,174
137,Zm00001d022654,Zm00001d027352,175
137,Zm00001d027349,Zm00001d027352,176
137,Zm00001d027350,Zm00001d027352,177
8,Zm00001d022654,Zm00001d027352,178
8,Zm00001d027350,Zm00001d027352,179
5,Zm00001d022654,Zm00001d027352,180
5,Zm00001d027350,Zm00001d027352,181
4,Zm00001d022654,Zm00001d027352,182
4,Zm00001d027350,Zm00001d027352,183
29,Zm00001d027351,Zm00001d027353,184
3,Zm00001d027351,Zm00001d027354,185
69,Zm00001d027352,Zm00001d027354,186
3,Zm00001d027352,Zm00001d027354,187
5,Zm00001d027354,ENSRNA049464940,188
5,Zm00001d027354,ENSRNA049464954,189
