Annotation1,Annotation2
ZS04g0255300,ZS11g0171400
ZS07g0487600,ZS07g0560800
ZS07g0069800,ZS03g0603800
ZS06g0264800,ZS10g0315500
ZS04g0771000,ZS12g0496000
ZS05g0281800,ZS06g0090500
ZS03g0511100,ZS12g0274900
ZS07g0249300,ZS02g0274100
ZS05g0010600,ZS06g0442400
ZS01g0174000,ZS04g0481100
ZS08g0071700,ZS08g0230600
ZS12g0375600,ZS06g0382400
ZS08g0318200,ZS02g0596400
ZS03g0099900,ZS03g0533900
ZS03g0190700,ZS12g0149200
ZS02g0361600,ZS01g0195300
ZS05g0111200,ZS01g0255000
ZS08g0089400,ZS01g0670800
ZS05g0410600,ZS07g0480700
ZS05g0096900,ZS11g0515000
ZS02g0113600,ZS11g0377800
ZS03g0588000,ZS08g0153400
ZS03g0211500,ZS04g0599800
ZS03g0144600,ZS09g0124000
ZS01g0066600,ZS04g0719000
ZS01g0092800,ZS01g0038700
ZS07g0284800,ZS11g0316300
ZS10g0279100,ZS07g0412600
ZS08g0130600,ZS09g0303600
ZS12g0503800,ZS06g0124700
ZS09g0136100,ZS06g0481900
ZS01g0290400,ZS07g0145100
ZS10g0023200,ZS04g0813000
ZS09g0337700,ZS01g0067600
ZS01g0062900,ZS01g0238200
ZS06g0188800,ZS06g0514900
ZS11g0031800,ZS09g0326000
ZS02g0274700,ZS06g0645600
ZS08g0359900,ZS10g0332100
ZS02g0643800,ZS01g0043700
ZS03g0691100,ZS10g0092100
ZS10g0273100,ZS05g0597200
ZS06g0544900,ZS04g0179500
ZS08g0010900,ZS12g0057500
ZS04g0372400,ZS02g0560800
ZS08g0250100,ZS01g0544200
ZS02g0115100,ZS09g0146400
ZS03g0648400,ZS11g0321900
ZS02g0306700,ZS03g0286900
ZS01g0233700,ZS02g0634100
ZS02g0149000,ZS01g0624700
ZS12g0085400,ZS11g0333300
ZS11g0056500,ZS11g0031200
ZS07g0178500,ZS09g0141400
ZS02g0131300,ZS08g0555400
ZS02g0197400,ZS01g0181000
ZS07g0247600,ZS05g0539900
ZS02g0669100,ZS10g0333900
ZS09g0332900,ZS01g0745700
ZS11g0606100,ZS07g0529000
ZS12g0130500,ZS01g0775000
ZS11g0022000,ZS04g0551700
ZS11g0297400,ZS02g0270900
ZS01g0048200,ZS03g0810700
ZS04g0452500,ZS01g0245500
ZS08g0268800,ZS06g0288200
ZS03g0581200,ZS08g0042900
ZS06g0091100,ZS06g0138600
ZS08g0538900,ZS10g0343400
ZS08g0378100,ZS02g0481100
ZS10g0032900,ZS01g0716900
ZS05g0554100,ZS03g0090600
ZS07g0361800,ZS12g0097100
ZS02g0624400,ZS02g0073900
ZS12g0375800,ZS12g0472600
ZS01g0125800,ZS07g0492900
ZS04g0698500,ZS09g0150100
ZS06g0409500,ZS03g0044800
ZS01g0177800,ZS04g0504800
ZS04g0629500,ZS02g0015900
ZS07g0084400,ZS05g0309500
ZS05g0286800,ZS08g0328100
ZS12g0156400,ZS12g0222300
ZS02g0697800,ZS06g0471800
ZS01g0735300,ZS03g0430600
ZS03g0219200,ZS06g0235100
ZS06g0625600,ZS07g0193300
ZS01g0441700,ZS01g0492700
ZS12g0258900,ZS10g0423100
ZS02g0695300,ZS06g0288000
ZS10g0313000,ZS09g0077700
ZS03g0354900,ZS06g0456100
ZS01g0386600,ZS04g0806300
ZS06g0565500,ZS12g0454600
ZS04g0600200,ZS05g0028000
ZS11g0209100,ZS12g0253200
ZS07g0548600,ZS05g0578300
ZS09g0398100,ZS07g0483200
ZS09g0084400,ZS11g0102700
ZS09g0011400,ZS04g0546200
ZS07g0152700,ZS11g0297000
ZS02g0591600,ZS05g0217900
ZS06g0666400,ZS07g0449900
ZS01g0447400,ZS11g0318900
ZS04g0633300,ZS11g0319000
ZS01g0186300,ZS03g0457600
ZS09g0052200,ZS09g0370800
ZS07g0235700,ZS10g0380700
ZS09g0186900,ZS01g0384800
ZS04g0331100,ZS04g0431100
ZS12g0024600,ZS11g0253000
ZS03g0053500,ZS09g0189500
ZS08g0332800,ZS08g0469800
ZS01g0012500,ZS02g0173900
ZS01g0733700,ZS02g0396400
ZS05g0210300,ZS08g0164600
ZS08g0040000,ZS04g0647500
ZS06g0330300,ZS03g0656800
ZS08g0317300,ZS10g0195000
ZS09g0422200,ZS02g0247700
ZS04g0682700,ZS04g0400300
ZS03g0104300,ZS08g0043700
ZS03g0727600,ZS06g0138200
ZS10g0065600,ZS01g0708800
ZS07g0195600,ZS12g0033800
ZS07g0087000,ZS02g0637600
ZS03g0094400,ZS08g0625300
ZS07g0082000,ZS03g0485000
ZS02g0053700,ZS08g0230000
ZS04g0176500,ZS06g0374900
ZS04g0331500,ZS03g0711800
ZS11g0351400,ZS12g0466400
ZS04g0433400,ZS02g0213700
ZS01g0601500,ZS08g0253100
ZS11g0418900,ZS02g0592700
ZS10g0458400,ZS01g0537500
ZS01g0172900,ZS04g0037900
ZS01g0773900,ZS02g0374100
ZS02g0522800,ZS03g0294500
ZS03g0432300,ZS02g0225200
ZS09g0201900,ZS12g0463500
ZS02g0393000,ZS07g0430600
ZS07g0457600,ZS04g0236700
ZS01g0743500,ZS01g0479700
ZS06g0012400,ZS12g0096000
ZS05g0167500,ZS03g0817600
ZS01g0408100,ZS08g0030300
ZS02g0244800,ZS07g0280600
ZS03g0018300,ZS10g0258000
ZS06g0568900,ZS03g0066700
ZS01g0574500,ZS05g0474700
ZS01g0124700,ZS01g0318000
ZS03g0412200,ZS12g0264700
ZS04g0085200,ZS05g0177400
ZS07g0444400,ZS04g0143000
ZS06g0667200,ZS06g0643700
ZS10g0383000,ZS02g0357400
ZS02g0544700,ZS11g0409600
ZS05g0439400,ZS02g0299900
ZS01g0043700,ZS09g0265900
ZS10g0399500,ZS03g0487000
ZS01g0563000,ZS12g0238200
ZS07g0565800,ZS11g0210000
ZS04g0685400,ZS12g0182700
ZS02g0269800,ZS10g0109000
ZS11g0366400,ZS12g0089600
ZS09g0036800,ZS11g0171400
ZS09g0371300,ZS04g0256500
ZS05g0129600,ZS01g0670000
ZS04g0084400,ZS06g0459800
ZS05g0160900,ZS02g0282800
ZS04g0807600,ZS05g0517900
ZS10g0433700,ZS10g0476300
ZS04g0125500,ZS01g0045600
ZS05g0353100,ZS08g0462700
ZS01g0583900,ZS02g0166400
ZS04g0131600,ZS11g0058600
ZS06g0488300,ZS02g0184000
ZS04g0749100,ZS09g0194700
ZS01g0799000,ZS10g0197100
ZS06g0570200,ZS01g0212600
ZS02g0658500,ZS12g0165700
ZS02g0135700,ZS02g0158600
ZS12g0377500,ZS11g0032400
ZS06g0508600,ZS11g0253200
ZS03g0185200,ZS12g0260900
ZS01g0370600,ZS06g0292400
ZS04g0629700,ZS03g0161000
ZS03g0521300,ZS07g0191000
ZS04g0255300,ZS10g0281700
ZS06g0443800,ZS07g0546800
ZS03g0301500,ZS10g0108700
ZS05g0054300,ZS11g0075100
ZS07g0467000,ZS08g0164600
ZS07g0353200,ZS05g0089500
ZS07g0015500,ZS08g0175700
ZS05g0281600,ZS08g0283700
ZS01g0257500,ZS12g0420500
ZS12g0325900,ZS04g0196600
ZS02g0567000,ZS09g0235600
ZS02g0612200,ZS05g0423200
ZS12g0375200,ZS04g0768400
ZS01g0049700,ZS04g0657900
ZS03g0057100,ZS08g0379500
ZS11g0461400,ZS11g0508600
ZS05g0250000,ZS03g0219900
ZS12g0392800,ZS03g0173000
ZS04g0500700,ZS08g0229800
ZS07g0179200,ZS07g0195800
ZS04g0257200,ZS05g0570500
ZS05g0185700,ZS02g0118800
ZS01g0461300,ZS05g0178600
ZS02g0098000,ZS07g0580100
ZS04g0091700,ZS07g0049800
ZS01g0625800,ZS05g0325300
ZS12g0409800,ZS04g0191900
ZS08g0500100,ZS01g0399600
ZS04g0781700,ZS12g0115700
ZS07g0372900,ZS02g0694900
ZS02g0378200,ZS08g0212800
ZS05g0118000,ZS07g0282500
ZS10g0102600,ZS07g0472800
ZS04g0229400,ZS06g0088700
ZS10g0036200,ZS01g0701700
ZS07g0330900,ZS06g0215300
ZS03g0057500,ZS05g0439900
ZS03g0027600,ZS06g0485500
ZS06g0354600,ZS02g0466400
ZS10g0363600,ZS12g0203200
ZS08g0038400,ZS01g0441300
ZS11g0348400,ZS11g0411400
ZS11g0412600,ZS11g0557000
ZS10g0375500,ZS11g0352500
ZS06g0010600,ZS03g0162100
ZS01g0254500,ZS12g0118900
ZS12g0292400,ZS11g0563600
ZS07g0176400,ZS01g0578200
ZS12g0297600,ZS01g0647200
ZS04g0503400,ZS02g0348500
ZS04g0638600,ZS01g0600100
ZS04g0220600,ZS02g0048500
ZS05g0581100,ZS11g0123600
ZS06g0232300,ZS01g0763400
ZS12g0014100,ZS01g0194100
ZS03g0030400,ZS05g0061900
ZS07g0569100,ZS02g0603500
ZS07g0277600,ZS01g0117800
ZS09g0370800,ZS12g0433500
ZS09g0424600,ZS01g0752200
ZS09g0042900,ZS03g0302700
ZS03g0316600,ZS02g0157500
ZS05g0155600,ZS09g0417600
ZS08g0643200,ZS03g0206100
ZS11g0432700,ZS12g0103100
ZS02g0205100,ZS10g0017300
ZS03g0284500,ZS04g0414000
ZS03g0512200,ZS03g0081400
ZS11g0331600,ZS01g0713600
ZS03g0581000,ZS05g0032000
ZS04g0568800,ZS06g0147200
ZS08g0254700,ZS01g0600800
ZS01g0331700,ZS02g0014500
ZS11g0200100,ZS06g0564200
ZS05g0607100,ZS05g0355000
ZS11g0334200,ZS11g0050500
ZS11g0553000,ZS01g0081200
ZS09g0194600,ZS06g0204900
ZS04g0629000,ZS07g0198300
ZS02g0062000,ZS02g0714500
ZS10g0322800,ZS02g0052200
ZS03g0180800,ZS06g0430900
ZS01g0443600,ZS03g0041700
ZS01g0536200,ZS08g0378200
ZS08g0430800,ZS07g0213000
ZS11g0480300,ZS10g0045900
ZS04g0087600,ZS08g0413200
ZS10g0334200,ZS01g0241600
ZS05g0176000,ZS05g0401400
ZS06g0323300,ZS04g0063600
ZS12g0418200,ZS03g0062200
ZS04g0077400,ZS01g0566900
ZS11g0335100,ZS06g0666100
ZS11g0490400,ZS08g0437600
ZS01g0795400,ZS06g0283900
ZS02g0378400,ZS02g0061800
ZS03g0239200,ZS08g0334200
ZS11g0480400,ZS04g0330100
ZS10g0435000,ZS04g0392000
ZS08g0444000,ZS04g0556800
ZS01g0672400,ZS09g0416200
ZS11g0328500,ZS10g0451500
ZS12g0200700,ZS07g0409600
ZS01g0640100,ZS12g0339300
ZS01g0692900,ZS04g0336100
ZS10g0129900,ZS02g0152900
ZS04g0549800,ZS08g0117900
ZS12g0447200,ZS12g0498900
ZS01g0616900,ZS11g0439500
ZS12g0022000,ZS07g0120100
ZS02g0267900,ZS07g0379300
ZS08g0116100,ZS07g0436600
ZS10g0372600,ZS07g0443600
ZS04g0282700,ZS12g0118700
ZS04g0781800,ZS08g0444600
ZS06g0512700,ZS03g0560100
ZS03g0581000,ZS07g0080300
ZS01g0679100,ZS01g0312800
ZS09g0178000,ZS06g0523000
ZS01g0349200,ZS04g0097300
ZS01g0701400,ZS05g0442700
ZS08g0133600,ZS04g0055100
ZS04g0495600,ZS02g0220100
ZS11g0583100,ZS09g0082400
ZS08g0025700,ZS07g0468600
ZS01g0175500,ZS04g0399600
ZS02g0066900,ZS03g0157300
ZS01g0151800,ZS11g0039600
ZS12g0382800,ZS08g0459200
ZS10g0361900,ZS05g0438900
ZS11g0390400,ZS02g0493700
ZS10g0391300,ZS01g0196900
ZS04g0012900,ZS01g0563500
ZS10g0350600,ZS05g0190000
ZS07g0301600,ZS11g0101100
ZS11g0235500,ZS02g0720900
ZS07g0065800,ZS07g0226300
ZS12g0409900,ZS02g0112600
ZS08g0072000,ZS12g0158500
ZS07g0189500,ZS06g0056200
ZS01g0066300,ZS03g0176300
ZS10g0446000,ZS11g0221500
ZS03g0075700,ZS04g0450100
ZS05g0556600,ZS01g0797400
ZS01g0724200,ZS01g0734900
ZS09g0349600,ZS07g0279700
ZS09g0159900,ZS04g0631400
ZS11g0364700,ZS01g0794400
ZS12g0125900,ZS06g0411600
ZS07g0532000,ZS05g0278700
ZS03g0037600,ZS05g0135200
ZS06g0311600,ZS01g0296900
ZS07g0286000,ZS10g0394300
ZS10g0089500,ZS01g0615500
ZS07g0069800,ZS04g0682200
ZS01g0246900,ZS07g0017300
ZS07g0013400,ZS08g0437600
ZS03g0728200,ZS07g0248600
ZS12g0239800,ZS07g0093600
ZS04g0052900,ZS08g0499900
ZS11g0128900,ZS08g0050200
ZS01g0552000,ZS03g0558600
ZS12g0503900,ZS04g0626400
ZS12g0262700,ZS01g0704000
ZS03g0110300,ZS11g0018700
ZS12g0268200,ZS06g0311700
ZS01g0426700,ZS02g0560200
ZS08g0383100,ZS02g0596200
ZS03g0294000,ZS07g0532400
ZS01g0068300,ZS10g0156400
ZS07g0087600,ZS04g0598000
ZS08g0280900,ZS10g0111600
ZS12g0504800,ZS03g0417400
ZS02g0204800,ZS11g0035900
ZS04g0499900,ZS09g0320900
ZS01g0486200,ZS03g0614800
ZS02g0326500,ZS09g0300500
ZS07g0466000,ZS05g0428600
ZS06g0043500,ZS05g0387400
ZS03g0714800,ZS06g0120100
ZS09g0025600,ZS05g0189700
ZS03g0506300,ZS01g0175600
ZS12g0225000,ZS05g0108000
ZS06g0018500,ZS08g0028800
ZS04g0490200,ZS02g0464100
ZS04g0282600,ZS12g0260100
ZS05g0477400,ZS06g0402900
ZS04g0593200,ZS11g0550800
ZS09g0124600,ZS11g0427300
ZS05g0126900,ZS12g0079400
ZS06g0524600,ZS09g0205200
ZS02g0027800,ZS08g0317700
ZS02g0564700,ZS04g0806700
ZS06g0091100,ZS02g0288800
ZS01g0153500,ZS06g0487200
ZS01g0385700,ZS08g0563000
ZS01g0381200,ZS08g0288600
ZS10g0338200,ZS09g0017200
ZS06g0237200,ZS05g0395100
ZS07g0574400,ZS11g0303100
ZS04g0791500,ZS05g0028900
ZS04g0387200,ZS01g0800300
ZS06g0220300,ZS03g0591100
ZS10g0053000,ZS10g0392300
ZS09g0393500,ZS07g0189600
ZS09g0022600,ZS01g0621500
ZS08g0363300,ZS05g0402600
ZS07g0208700,ZS07g0485700
ZS06g0431600,ZS12g0267300
ZS03g0115200,ZS03g0373100
ZS03g0274800,ZS11g0484300
ZS04g0809500,ZS08g0657700
ZS10g0072900,ZS01g0372000
ZS05g0324300,ZS01g0689900
ZS03g0154600,ZS02g0156200
ZS02g0347900,ZS10g0473800
ZS12g0198400,ZS01g0567900
ZS05g0585000,ZS12g0152800
ZS05g0129800,ZS01g0425800
ZS01g0483700,ZS01g0696200
ZS08g0026600,ZS09g0421100
ZS01g0779100,ZS03g0657200
ZS01g0109700,ZS05g0445500
ZS07g0087500,ZS10g0218400
ZS10g0037200,ZS06g0407000
ZS01g0619200,ZS06g0268200
ZS03g0673400,ZS08g0046000
ZS06g0644000,ZS11g0127100
ZS03g0694000,ZS01g0548600
ZS04g0453300,ZS12g0145800
ZS12g0339500,ZS12g0154300
ZS01g0583600,ZS01g0744800
ZS03g0011800,ZS02g0631800
ZS12g0534000,ZS02g0222700
ZS07g0277600,ZS04g0023000
ZS03g0408100,ZS11g0019500
ZS10g0181300,ZS07g0170100
ZS09g0025100,ZS08g0447100
ZS05g0474400,ZS06g0599800
ZS04g0791300,ZS03g0077600
ZS11g0427000,ZS08g0133300
ZS07g0128500,ZS03g0104900
ZS07g0387800,ZS08g0528100
ZS05g0094500,ZS03g0318500
ZS03g0337100,ZS10g0242900
ZS03g0474700,ZS07g0403000
ZS07g0121100,ZS05g0446800
ZS04g0174700,ZS03g0302200
ZS05g0124700,ZS04g0656500
ZS08g0550800,ZS11g0596600
ZS02g0440600,ZS07g0192000
ZS01g0408900,ZS05g0391300
ZS04g0657700,ZS06g0513400
ZS10g0329100,ZS05g0130600
ZS02g0588700,ZS03g0202800
ZS01g0411200,ZS01g0372900
ZS10g0050500,ZS03g0649200
ZS04g0185100,ZS07g0336800
ZS04g0516700,ZS05g0390900
ZS01g0287400,ZS12g0497500
ZS08g0170500,ZS06g0545200
ZS05g0248500,ZS01g0248600
ZS08g0104500,ZS01g0654900
ZS06g0240900,ZS11g0602000
ZS03g0108600,ZS05g0012200
ZS01g0648900,ZS06g0410400
ZS12g0151800,ZS05g0048100
ZS04g0346200,ZS10g0374300
ZS01g0385500,ZS07g0145700
ZS08g0193400,ZS01g0042800
ZS04g0680400,ZS05g0174000
ZS11g0508800,ZS12g0024100
ZS04g0531500,ZS09g0017600
ZS11g0037100,ZS11g0048900
ZS04g0118300,ZS03g0336800
ZS03g0418600,ZS02g0179500
ZS04g0646100,ZS04g0336300
ZS07g0280500,ZS08g0633000
ZS04g0144300,ZS05g0435800
ZS03g0491900,ZS07g0067600
ZS03g0466500,ZS08g0608700
ZS03g0067000,ZS04g0758800
ZS09g0337800,ZS03g0375500
ZS03g0567900,ZS01g0149300
ZS01g0758300,ZS04g0757400
ZS09g0419100,ZS10g0222300
ZS09g0235400,ZS08g0088700
ZS04g0183800,ZS04g0080900
ZS07g0298800,ZS10g0374800
ZS05g0384500,ZS04g0631400
ZS05g0359600,ZS04g0600300
ZS08g0039900,ZS06g0435200
ZS05g0130000,ZS05g0547400
ZS02g0542100,ZS03g0415800
ZS02g0623100,ZS06g0264200
ZS04g0061500,ZS02g0280800
ZS04g0442500,ZS08g0210900
ZS09g0068800,ZS02g0622100
ZS04g0519400,ZS04g0075000
ZS06g0143100,ZS04g0443500
ZS07g0286200,ZS01g0172400
ZS02g0548300,ZS05g0478300
ZS11g0412600,ZS08g0618200
ZS04g0444100,ZS11g0605400
ZS03g0735600,ZS11g0537300
ZS03g0506600,ZS01g0726700
ZS08g0483400,ZS06g0371100
ZS01g0754600,ZS08g0315400
ZS07g0116600,ZS01g0742500
ZS08g0269300,ZS05g0568800
ZS02g0544900,ZS05g0352500
ZS04g0608500,ZS10g0442500
ZS08g0236600,ZS10g0062400
ZS09g0398100,ZS05g0461900
ZS06g0283300,ZS01g0085800
ZS05g0538500,ZS06g0432200
ZS06g0312600,ZS01g0781800
ZS05g0162300,ZS06g0090500
ZS03g0750100,ZS01g0554600
ZS01g0480100,ZS03g0115200
ZS12g0447600,ZS01g0573700
ZS07g0509600,ZS11g0168300
ZS10g0450300,ZS12g0040700
ZS11g0536600,ZS03g0369500
ZS07g0558300,ZS01g0262000
ZS09g0301500,ZS02g0712700
ZS11g0077200,ZS05g0570400
ZS06g0044600,ZS02g0299800
ZS05g0125900,ZS03g0294700
ZS07g0565600,ZS10g0174900
ZS04g0147400,ZS06g0262100
ZS01g0287400,ZS04g0747400
ZS04g0717100,ZS01g0315100
ZS06g0435000,ZS02g0356500
ZS04g0270800,ZS02g0242800
ZS02g0125500,ZS07g0283400
ZS01g0072700,ZS03g0165400
ZS01g0793200,ZS06g0445000
ZS02g0125300,ZS10g0030600
ZS07g0387900,ZS03g0510500
ZS08g0320900,ZS04g0488400
ZS09g0158100,ZS08g0441000
ZS11g0589900,ZS09g0157200
ZS03g0093700,ZS11g0201000
ZS05g0581100,ZS10g0241900
ZS11g0198800,ZS01g0084500
ZS11g0127300,ZS06g0056300
ZS12g0473300,ZS06g0076800
ZS10g0279700,ZS11g0351300
ZS01g0738400,ZS07g0446400
ZS01g0608000,ZS06g0310400
ZS09g0146500,ZS01g0654700
ZS03g0285200,ZS04g0809600
ZS11g0576900,ZS03g0052200
ZS02g0716500,ZS06g0202700
ZS07g0532400,ZS03g0285200
ZS04g0338000,ZS02g0072600
ZS10g0066600,ZS04g0143200
ZS09g0119400,ZS03g0066300
ZS05g0535900,ZS03g0183400
ZS04g0434200,ZS05g0179600
ZS04g0639800,ZS12g0326600
ZS02g0491600,ZS12g0412800
ZS07g0242800,ZS01g0465000
ZS03g0369400,ZS04g0597200
ZS02g0443700,ZS10g0476200
ZS12g0259300,ZS11g0422600
ZS02g0315700,ZS11g0531500
ZS04g0546900,ZS11g0551800
ZS03g0110200,ZS03g0652200
ZS11g0013200,ZS04g0454200
ZS11g0033500,ZS01g0092700
ZS04g0464900,ZS07g0383800
ZS01g0718000,ZS08g0507100
ZS08g0586500,ZS06g0354600
ZS01g0344500,ZS03g0010100
ZS08g0554600,ZS01g0721300
ZS04g0083400,ZS01g0488700
ZS10g0360100,ZS06g0061200
ZS07g0455700,ZS01g0582100
ZS02g0166300,ZS06g0122700
ZS01g0066600,ZS11g0104600
ZS03g0608000,ZS12g0415000
ZS01g0241200,ZS08g0119300
ZS03g0217000,ZS01g0010100
ZS05g0059500,ZS09g0240000
ZS01g0055000,ZS04g0733200
ZS06g0191100,ZS07g0460000
ZS02g0719800,ZS02g0225000
ZS02g0066300,ZS08g0018400
ZS05g0247700,ZS12g0165400
ZS05g0086700,ZS06g0646500
ZS12g0452500,ZS09g0302600
ZS01g0544700,ZS02g0054200
ZS06g0038100,ZS05g0430000
ZS09g0068400,ZS11g0464400
ZS05g0444600,ZS01g0551000
ZS08g0016400,ZS04g0092100
ZS04g0488100,ZS06g0356500
ZS11g0557100,ZS03g0566200
ZS10g0210000,ZS05g0120800
ZS04g0208400,ZS02g0074000
ZS04g0026300,ZS01g0582300
ZS10g0356800,ZS05g0176600
ZS03g0740800,ZS09g0030300
ZS02g0666100,ZS01g0348400
ZS12g0057600,ZS01g0536300
ZS01g0410600,ZS03g0111500
ZS12g0027600,ZS09g0177500
ZS05g0016200,ZS08g0330200
ZS01g0214100,ZS08g0025300
ZS01g0443800,ZS01g0656900
ZS09g0014200,ZS07g0360800
ZS07g0359100,ZS07g0563300
ZS03g0467500,ZS03g0040900
ZS02g0036300,ZS01g0509100
ZS12g0461200,ZS07g0570300
ZS02g0388700,ZS03g0158000
ZS01g0786400,ZS06g0535800
ZS08g0249800,ZS10g0091300
ZS04g0334800,ZS11g0562400
ZS01g0239000,ZS10g0240200
ZS10g0048500,ZS01g0386200
ZS07g0356000,ZS03g0117200
ZS08g0029200,ZS01g0539100
ZS04g0549300,ZS12g0078700
ZS05g0048500,ZS09g0249000
ZS04g0668400,ZS02g0092500
ZS01g0465100,ZS06g0563800
ZS12g0455700,ZS06g0330000
ZS10g0012200,ZS03g0726600
ZS05g0430600,ZS03g0592700
ZS12g0041500,ZS09g0210200
ZS02g0057800,ZS03g0286800
ZS05g0473100,ZS05g0257300
ZS07g0183800,ZS03g0654400
ZS01g0677000,ZS05g0128300
ZS02g0011200,ZS08g0602100
