Annotation1,Annotation2
ZS09g0306500,ZS01g0542800
ZS01g0043000,ZS03g0708400
ZS02g0424500,ZS06g0480900
ZS02g0184800,ZS10g0027400
ZS01g0309700,ZS10g0374600
ZS05g0276600,ZS08g0462000
ZS01g0287800,ZS05g0048900
ZS10g0432400,ZS07g0246100
ZS05g0469300,ZS08g0014000
ZS12g0022700,ZS01g0623500
ZS03g0420300,ZS03g0531800
ZS07g0283300,ZS03g0042200
ZS09g0189800,ZS02g0276900
ZS02g0234200,ZS01g0684700
ZS03g0175100,ZS06g0102100
ZS01g0195000,ZS05g0610900
ZS12g0353400,ZS10g0213000
ZS07g0170100,ZS01g0803900
ZS02g0678300,ZS08g0635700
ZS02g0043200,ZS08g0613300
ZS09g0019300,ZS11g0226000
ZS12g0011300,ZS10g0108800
ZS10g0377100,ZS03g0205200
ZS04g0100900,ZS01g0725700
ZS01g0706700,ZS09g0232200
ZS02g0384900,ZS11g0415600
ZS07g0013400,ZS10g0350800
ZS10g0365000,ZS05g0226800
ZS03g0034700,ZS02g0063700
ZS05g0227700,ZS03g0747500
ZS03g0591800,ZS09g0342500
ZS08g0425000,ZS08g0038600
ZS09g0139500,ZS01g0480700
ZS05g0437800,ZS02g0060500
ZS10g0424600,ZS01g0089900
ZS09g0221200,ZS02g0163700
ZS04g0256400,ZS12g0387900
ZS06g0216900,ZS01g0120700
ZS06g0454400,ZS04g0596500
ZS07g0385900,ZS01g0296600
ZS12g0414600,ZS03g0019000
ZS04g0812800,ZS03g0071100
ZS10g0096500,ZS10g0355800
ZS08g0381600,ZS10g0365500
ZS07g0417800,ZS10g0396500
ZS03g0534100,ZS01g0527700
ZS02g0460200,ZS06g0583600
ZS04g0098300,ZS04g0556300
ZS04g0272100,ZS11g0580600
ZS01g0287300,ZS05g0604000
ZS08g0539700,ZS06g0600800
ZS10g0241400,ZS09g0201500
ZS08g0550800,ZS05g0600200
ZS04g0146100,ZS04g0012700
ZS08g0314800,ZS01g0554000
ZS08g0028900,ZS02g0312400
ZS05g0588000,ZS03g0812400
ZS07g0534200,ZS07g0298500
ZS12g0029800,ZS04g0186400
ZS07g0460600,ZS08g0638800
ZS04g0253700,ZS01g0396300
ZS04g0596100,ZS02g0172700
ZS02g0606500,ZS02g0319500
ZS03g0420400,ZS06g0661500
ZS05g0152300,ZS03g0150700
ZS06g0025100,ZS09g0235500
ZS07g0176600,ZS10g0391500
ZS03g0123600,ZS04g0271100
ZS10g0092700,ZS06g0334700
ZS08g0486900,ZS05g0356400
ZS11g0022200,ZS10g0036000
ZS12g0390700,ZS03g0593500
ZS10g0023600,ZS05g0118700
ZS07g0585900,ZS11g0022500
ZS11g0154700,ZS07g0195600
ZS12g0145100,ZS11g0551800
ZS10g0062000,ZS05g0583700
ZS01g0012400,ZS05g0222300
ZS01g0542800,ZS03g0147100
ZS10g0307200,ZS04g0761400
ZS01g0566600,ZS04g0241000
ZS01g0747200,ZS07g0403100
ZS03g0095300,ZS01g0217100
ZS08g0591700,ZS08g0417300
ZS01g0546700,ZS07g0537500
ZS09g0355200,ZS03g0317200
ZS07g0082300,ZS06g0627000
ZS04g0276800,ZS03g0139200
ZS12g0382700,ZS10g0168700
ZS11g0211600,ZS02g0508100
ZS09g0145200,ZS10g0399300
ZS11g0430600,ZS07g0437600
ZS11g0038100,ZS08g0455600
ZS02g0154800,ZS01g0634500
ZS11g0620700,ZS04g0241800
ZS02g0046400,ZS04g0082700
ZS12g0433000,ZS11g0389500
ZS01g0066000,ZS05g0516900
ZS01g0309700,ZS02g0561100
ZS11g0550900,ZS01g0679400
ZS08g0471300,ZS07g0317600
ZS04g0384200,ZS06g0265800
ZS12g0491900,ZS07g0554100
ZS04g0683500,ZS01g0446800
ZS01g0151900,ZS05g0427300
ZS10g0188500,ZS04g0255700
ZS01g0799300,ZS12g0098600
ZS12g0400700,ZS06g0045400
ZS02g0672900,ZS10g0356800
ZS07g0234800,ZS01g0483400
ZS05g0230100,ZS02g0494300
ZS07g0169700,ZS04g0788900
ZS05g0026400,ZS03g0510500
ZS04g0642200,ZS02g0666100
ZS04g0092100,ZS01g0036500
ZS02g0207600,ZS02g0112500
ZS09g0410400,ZS09g0105400
ZS03g0567200,ZS10g0336200
ZS11g0561900,ZS11g0327700
ZS10g0258500,ZS04g0104000
ZS08g0233600,ZS05g0401000
ZS02g0196400,ZS06g0235900
ZS06g0164500,ZS08g0320800
ZS06g0523300,ZS07g0451000
ZS04g0553900,ZS04g0504100
ZS05g0392300,ZS04g0175500
ZS03g0156600,ZS08g0446300
ZS06g0485300,ZS08g0553900
ZS12g0221500,ZS06g0237000
ZS01g0065800,ZS03g0478100
ZS01g0029900,ZS10g0447200
ZS07g0171600,ZS11g0436200
ZS03g0035500,ZS05g0327800
ZS11g0065900,ZS09g0177800
ZS06g0162100,ZS02g0401700
ZS08g0603800,ZS08g0068600
ZS03g0673200,ZS04g0551700
ZS02g0289800,ZS07g0300200
ZS03g0014900,ZS03g0242600
ZS06g0238500,ZS09g0189400
ZS03g0170000,ZS06g0152700
ZS04g0589300,ZS04g0656000
ZS11g0441400,ZS06g0094600
ZS06g0239900,ZS01g0625300
ZS05g0309200,ZS09g0390700
ZS02g0184700,ZS07g0085400
ZS06g0547400,ZS01g0537800
ZS01g0722800,ZS09g0419100
ZS08g0090100,ZS07g0344000
ZS06g0377600,ZS07g0580900
ZS06g0558100,ZS09g0051900
ZS12g0097100,ZS12g0182900
ZS04g0769900,ZS04g0536100
ZS06g0050700,ZS04g0402300
ZS02g0207900,ZS08g0044400
ZS05g0212600,ZS08g0088800
ZS12g0138300,ZS02g0675500
ZS03g0538000,ZS03g0485400
ZS05g0517600,ZS01g0212300
ZS02g0495700,ZS03g0721600
ZS03g0608700,ZS06g0625400
ZS08g0117900,ZS06g0375000
ZS06g0073600,ZS06g0096000
ZS03g0389100,ZS08g0397400
ZS04g0051600,ZS02g0442200
ZS03g0078600,ZS03g0478600
ZS11g0508600,ZS05g0152900
ZS05g0369100,ZS09g0182200
ZS10g0189800,ZS04g0488300
ZS04g0057800,ZS10g0071000
ZS10g0434900,ZS01g0691700
ZS11g0489400,ZS03g0588300
ZS06g0176400,ZS01g0280500
ZS01g0747400,ZS07g0480600
ZS05g0180400,ZS06g0158100
ZS12g0502400,ZS08g0461700
ZS07g0545000,ZS01g0171500
ZS01g0198500,ZS07g0450900
ZS12g0431600,ZS09g0174600
ZS07g0483500,ZS02g0663300
ZS01g0173300,ZS03g0039100
ZS06g0474200,ZS06g0449200
ZS02g0437700,ZS07g0175400
ZS01g0350300,ZS06g0483900
ZS06g0146700,ZS06g0315000
ZS01g0349700,ZS08g0655000
ZS11g0488800,ZS07g0030700
ZS06g0505900,ZS03g0121300
ZS05g0457800,ZS02g0495500
ZS01g0579200,ZS02g0666800
ZS08g0307700,ZS05g0557300
ZS04g0629600,ZS04g0756900
ZS02g0176500,ZS03g0062600
ZS10g0304500,ZS01g0579300
ZS08g0042100,ZS07g0227500
ZS02g0399100,ZS04g0647500
ZS03g0373600,ZS07g0246800
ZS05g0278500,ZS06g0161200
ZS07g0046100,ZS01g0314100
ZS07g0484200,ZS08g0448000
ZS11g0598800,ZS10g0406400
ZS08g0037600,ZS01g0554900
ZS12g0098500,ZS11g0025000
ZS08g0453900,ZS06g0279300
ZS02g0631800,ZS10g0323500
ZS06g0310300,ZS02g0236300
ZS09g0332200,ZS01g0589000
ZS04g0393200,ZS11g0197600
ZS12g0339700,ZS04g0767500
ZS07g0558800,ZS02g0664500
ZS04g0081600,ZS01g0354200
ZS11g0167100,ZS01g0567000
ZS04g0631300,ZS10g0109200
ZS09g0389800,ZS04g0761000
ZS02g0618400,ZS02g0548700
ZS03g0302300,ZS03g0174500
ZS03g0034800,ZS12g0499700
ZS04g0342200,ZS03g0242300
ZS01g0290600,ZS03g0432100
ZS01g0246100,ZS11g0490200
ZS11g0516700,ZS08g0582400
ZS01g0781900,ZS03g0489600
ZS02g0168100,ZS01g0258400
ZS04g0037600,ZS10g0431000
ZS02g0240800,ZS03g0715600
ZS03g0741900,ZS10g0034000
ZS01g0328500,ZS05g0059100
ZS05g0383300,ZS05g0127800
ZS08g0237200,ZS04g0185600
ZS08g0187300,ZS06g0019100
ZS11g0579300,ZS02g0040000
ZS04g0482300,ZS01g0442900
ZS01g0551300,ZS05g0212700
ZS12g0431100,ZS12g0150600
ZS05g0382900,ZS02g0346700
ZS08g0434000,ZS05g0445400
ZS09g0101400,ZS07g0197800
ZS07g0449300,ZS04g0395500
ZS11g0441900,ZS06g0357800
ZS08g0487500,ZS02g0292000
ZS06g0625900,ZS08g0588800
ZS01g0387400,ZS07g0455500
ZS10g0048000,ZS11g0043300
ZS08g0460900,ZS05g0553600
ZS01g0274500,ZS04g0097000
ZS04g0736300,ZS01g0291100
ZS10g0062400,ZS05g0027800
ZS09g0427200,ZS02g0208900
ZS04g0144400,ZS01g0313100
ZS04g0627100,ZS07g0343800
ZS03g0159500,ZS08g0472900
ZS11g0395200,ZS01g0645600
ZS10g0461900,ZS04g0674200
ZS04g0673700,ZS04g0673100
ZS01g0076000,ZS04g0331400
ZS04g0800100,ZS03g0220900
ZS05g0440800,ZS06g0428800
ZS03g0055600,ZS09g0184700
ZS01g0619700,ZS05g0286400
ZS09g0346500,ZS12g0380000
ZS02g0501000,ZS12g0023500
ZS02g0175500,ZS01g0106500
ZS03g0531700,ZS03g0467700
ZS11g0204200,ZS05g0445800
ZS04g0226300,ZS05g0353400
ZS07g0090200,ZS04g0477500
ZS06g0523200,ZS04g0129700
ZS06g0061500,ZS08g0568700
ZS02g0696300,ZS08g0377900
ZS03g0588100,ZS08g0371500
ZS12g0011500,ZS04g0792500
ZS07g0050200,ZS02g0196900
ZS05g0129300,ZS07g0331300
ZS03g0812600,ZS04g0713800
ZS03g0356800,ZS09g0010100
ZS07g0411600,ZS06g0514800
ZS06g0332800,ZS03g0388500
ZS08g0306400,ZS09g0238700
ZS04g0791400,ZS05g0096200
ZS03g0614700,ZS07g0557300
ZS05g0372200,ZS01g0521100
ZS08g0360700,ZS07g0089700
ZS07g0578100,ZS10g0388400
ZS04g0556600,ZS11g0011300
ZS01g0639900,ZS11g0325900
ZS03g0214200,ZS09g0156400
ZS10g0216600,ZS04g0770300
ZS06g0636200,ZS07g0555700
ZS03g0394400,ZS10g0293400
ZS02g0318600,ZS10g0375700
ZS10g0057200,ZS02g0598100
ZS02g0719900,ZS01g0492600
ZS02g0045800,ZS07g0190500
ZS04g0253400,ZS07g0231900
ZS10g0383200,ZS04g0678900
ZS12g0454400,ZS01g0389100
ZS11g0600000,ZS11g0049400
ZS04g0518500,ZS11g0484900
ZS07g0254000,ZS02g0699600
ZS12g0403000,ZS01g0211300
ZS02g0481200,ZS10g0341800
ZS06g0024800,ZS06g0567800
ZS03g0224000,ZS10g0305100
ZS10g0322800,ZS10g0337000
ZS05g0573500,ZS12g0406300
ZS11g0511100,ZS07g0413000
ZS12g0179400,ZS06g0634000
ZS10g0097000,ZS12g0451500
ZS04g0141900,ZS10g0279300
ZS03g0122800,ZS01g0609300
ZS12g0449800,ZS01g0759900
ZS04g0437700,ZS01g0607900
ZS11g0215600,ZS01g0533200
ZS02g0603700,ZS02g0386300
ZS01g0736600,ZS01g0254100
ZS01g0528000,ZS08g0140500
ZS11g0620000,ZS02g0548100
ZS03g0154000,ZSUN02g00115
ZS03g0097500,ZS05g0258700
ZS01g0195800,ZS05g0012300
ZS02g0489100,ZS06g0621100
ZS05g0164600,ZS07g0488600
ZS12g0194300,ZS05g0442700
ZS06g0343600,ZS07g0372600
ZS09g0354200,ZS02g0546200
ZS02g0493200,ZS10g0444400
ZS05g0020000,ZS09g0084200
ZS04g0192700,ZS01g0700300
ZS01g0611100,ZS11g0042800
ZS08g0460800,ZS10g0365100
ZS04g0604900,ZS04g0085800
ZS09g0102200,ZS04g0090000
ZS10g0326700,ZS05g0537400
ZS08g0029000,ZS01g0550700
ZS05g0470400,ZS06g0148000
ZS07g0547200,ZS09g0198300
ZS01g0039500,ZS01g0109900
ZS10g0112900,ZS11g0469600
ZS09g0306600,ZS07g0387400
ZS09g0347400,ZS02g0130700
ZS12g0256200,ZS05g0107900
ZS03g0411000,ZS06g0233700
ZS04g0092000,ZS09g0347900
ZS01g0016100,ZS06g0489000
ZS02g0301000,ZS02g0351100
ZS02g0611400,ZS09g0118800
ZS03g0174000,ZS07g0049700
ZS10g0315500,ZS02g0076700
ZS03g0296100,ZS05g0242300
ZS05g0129000,ZS05g0465300
ZS07g0374300,ZS11g0013900
ZS01g0787800,ZS10g0398400
ZS09g0313800,ZS11g0074400
ZS06g0474000,ZS09g0314300
ZS01g0313400,ZS12g0144000
ZS01g0779500,ZS08g0506100
ZS02g0244600,ZS09g0267000
ZS04g0233400,ZS01g0236400
ZS01g0696100,ZS06g0125400
ZS09g0232700,ZS11g0123200
ZS04g0501200,ZS06g0537500
ZS01g0039700,ZS01g0322000
ZS05g0435400,ZS01g0293700
ZS04g0186400,ZS05g0175400
ZS07g0336300,ZS10g0334900
ZS06g0522000,ZS03g0405800
ZS12g0312300,ZS02g0617600
ZS06g0516600,ZS05g0410200
ZS03g0709300,ZS08g0101800
ZS06g0152800,ZS04g0549700
ZS07g0331500,ZS03g0286800
ZS10g0022000,ZS09g0159300
ZS11g0040300,ZS05g0180800
ZS11g0325600,ZS03g0023300
ZS04g0790600,ZS10g0155000
ZS07g0512000,ZS02g0019500
ZS04g0548800,ZS02g0166100
ZS01g0233200,ZS04g0142100
ZS02g0334900,ZS06g0140100
ZS03g0188200,ZS03g0141600
ZS01g0745700,ZS10g0271800
ZS11g0425900,ZS02g0611700
ZS06g0156100,ZS10g0459600
ZS09g0324700,ZS01g0347200
ZS11g0045200,ZS08g0552200
ZS12g0382000,ZS11g0183000
ZS07g0146600,ZS01g0753900
ZS12g0118300,ZS03g0823300
ZS12g0063200,ZS08g0318100
ZS12g0200800,ZS03g0173600
ZS12g0259600,ZS02g0395800
ZS07g0127000,ZS01g0049400
ZS01g0070400,ZS08g0612700
ZS09g0344900,ZS09g0081300
ZS03g0218600,ZS02g0134800
ZS06g0341200,ZS03g0484100
ZS12g0034900,ZS05g0052400
ZS07g0558300,ZS11g0415300
ZS01g0546600,ZS08g0138600
ZS02g0195800,ZS02g0158600
ZS02g0539400,ZS06g0139600
ZS04g0762900,ZS07g0158000
ZS11g0054000,ZS11g0331800
ZS01g0754100,ZS01g0744500
ZS04g0681500,ZS03g0465700
ZS01g0350400,ZS12g0506400
ZS04g0629500,ZS05g0591100
ZS10g0049600,ZS10g0030100
ZS05g0272900,ZS06g0279600
ZS03g0587400,ZS03g0659300
ZS04g0196200,ZS01g0428600
ZS02g0287500,ZS05g0603100
ZS11g0153200,ZS07g0171000
ZS03g0221900,ZS05g0311300
ZS06g0583800,ZS04g0064200
ZS04g0602000,ZS03g0084000
ZS01g0710100,ZS01g0220400
ZS08g0228500,ZS08g0198300
ZS06g0236100,ZS05g0045300
ZS07g0023700,ZS12g0135300
ZS01g0149900,ZS02g0287800
ZS11g0429500,ZS09g0119800
ZS07g0054800,ZS10g0293900
ZS03g0735000,ZS05g0541700
ZS02g0053900,ZS05g0515700
ZS05g0013900,ZS03g0690300
ZS04g0743500,ZS09g0272500
ZS04g0644900,ZS06g0479200
ZS04g0662900,ZS07g0042800
ZS02g0496600,ZS01g0507700
ZS08g0213700,ZS02g0542700
ZS03g0407900,ZS06g0427400
ZS04g0635800,ZS03g0612400
ZS03g0732800,ZS02g0464900
ZS01g0460200,ZS05g0155800
ZS02g0713100,ZS09g0039000
