Chr_ann1,Start_ann1,End_ann1,Chr_ann2,Start_ann2,End_ann2,ChIN,Annotation1,Annotation2
Chr01,792,2768,Chr01,11845,12694,6,ZS01g0010000,ZS01g0010300
Chr01,792,2768,Chr01,44967,47379,4,ZS01g0010000,ZS01g0011100
Chr01,22312,23639,Chr01,56212,58091,7,ZS01g0010500,ZS01g0011300
Chr01,22312,23639,Chr01,97876,99794,4,ZS01g0010500,ZS01g0012400
Chr01,22312,23639,Chr01,100898,103329,4,ZS01g0010500,ZS01g0012500
Chr01,41937,43473,Chr01,56212,58091,4,ZS01g0011000,ZS01g0011300
Chr01,44967,47379,Chr01,56212,58091,10,ZS01g0011100,ZS01g0011300
Chr01,44967,47379,Chr01,65524,67452,5,ZS01g0011100,ZS01g0011400
Chr01,48584,50175,Chr01,103980,105363,5,ZS01g0011100,ZS01g0012600
Chr01,56212,58091,Chr01,65524,67452,5,ZS01g0011300,ZS01g0011400
Chr01,56212,58091,Chr01,97876,99794,4,ZS01g0011300,ZS01g0012400
Chr01,56212,58091,Chr01,100898,103329,9,ZS01g0011300,ZS01g0012500
Chr01,65524,67452,Chr01,97876,99794,10,ZS01g0011400,ZS01g0012400
Chr01,65524,67452,Chr01,100898,103329,10,ZS01g0011400,ZS01g0012500
Chr01,65524,67452,Chr01,103980,105363,4,ZS01g0011400,ZS01g0012600
Chr01,65524,67452,Chr01,107222,108690,4,ZS01g0011400,ZS01g0012700
Chr01,89666,90842,Chr01,97876,99794,6,ZS01g0012200,ZS01g0012400
Chr01,89666,90842,Chr01,100898,103329,5,ZS01g0012200,ZS01g0012500
Chr01,89666,90842,Chr01,107222,108690,4,ZS01g0012200,ZS01g0012700
Chr01,97876,99794,Chr01,107222,108690,7,ZS01g0012400,ZS01g0012700
Chr01,97876,99794,Chr01,171785,174360,4,ZS01g0012400,ZS01g0014000
Chr01,100898,103329,Chr01,124364,126778,5,ZS01g0012500,ZS01g0013000
Chr01,100898,103329,Chr01,128671,129319,4,ZS01g0012500,ZS01g0013100
Chr01,100898,103329,Chr01,171785,174360,7,ZS01g0012500,ZS01g0014000
Chr01,103980,105363,Chr01,119082,120512,4,ZS01g0012600,ZS01g0012900
Chr01,103980,105363,Chr01,124364,126778,4,ZS01g0012600,ZS01g0013000
Chr01,103980,105363,Chr01,152958,155903,5,ZS01g0012600,ZS01g0013500
Chr01,103980,105363,Chr01,171785,174360,8,ZS01g0012600,ZS01g0014000
Chr01,107222,108690,Chr01,124364,126778,4,ZS01g0012700,ZS01g0013000
Chr01,107222,108690,Chr01,152958,155903,6,ZS01g0012700,ZS01g0013500
Chr01,107222,108690,Chr01,171785,174360,5,ZS01g0012700,ZS01g0014000
Chr01,119082,120512,Chr01,152958,155903,6,ZS01g0012900,ZS01g0013500
Chr01,119082,120512,Chr01,171785,174360,6,ZS01g0012900,ZS01g0014000
Chr01,124364,126778,Chr01,134348,136815,5,ZS01g0013000,ZS01g0013200
Chr01,124364,126778,Chr01,152958,155903,14,ZS01g0013000,ZS01g0013500
Chr01,124364,126778,Chr01,165523,166284,4,ZS01g0013000,ZS01g0013800
Chr01,124364,126778,Chr01,171785,174360,11,ZS01g0013000,ZS01g0014000
Chr01,128671,129319,Chr01,152958,155903,4,ZS01g0013100,ZS01g0013500
Chr01,128671,129319,Chr01,171785,174360,5,ZS01g0013100,ZS01g0014000
Chr01,134348,136815,Chr01,152958,155903,12,ZS01g0013200,ZS01g0013500
Chr01,152958,155903,Chr01,171785,174360,12,ZS01g0013500,ZS01g0014000
Chr01,160963,162271,Chr01,171785,174360,10,ZS01g0013700,ZS01g0014000
Chr01,171785,174360,Chr01,190386,192380,14,ZS01g0014000,ZS01g0014300
Chr01,171785,174360,Chr01,219223,220454,4,ZS01g0014000,ZS01g0014700
Chr01,190386,192380,Chr01,224977,226157,4,ZS01g0014300,ZS01g0014800
Chr01,190386,192380,Chr01,298681,302770,5,ZS01g0014300,ZS01g0016100
Chr01,287922,289108,Chr01,298681,302770,18,ZS01g0015800,ZS01g0016100
Chr01,292056,293598,Chr01,298681,302770,19,ZS01g0015900,ZS01g0016100
Chr01,298681,302770,Chr01,309908,310551,4,ZS01g0016100,ZS01g0016500
Chr01,298681,302770,Chr01,313403,314731,10,ZS01g0016100,ZS01g0016700
Chr01,298681,302770,Chr01,314810,316127,5,ZS01g0016100,ZS01g0016700
Chr01,298681,302770,Chr01,317611,318979,6,ZS01g0016100,ZS01g0016800
Chr01,309908,310551,Chr01,692678,693753,4,ZS01g0016500,ZS01g0022400
Chr01,353839,354952,Chr01,360932,363114,7,ZS01g0016900,ZS01g0017000
Chr01,353839,354952,Chr01,398585,400080,7,ZS01g0016900,ZS01g0017600
