Annotation1,Annotation2
MH03g0253300,MH09g0357700
MH09g0024700,MH03g0093100
MH02g0247700,MH05g0568200
MH11g0039000,MH08g0472400
MH01g0595600,MH06g0550200
MH11g0088000,MH01g0525300
MH02g0484700,MH06g0336200
MH08g0416700,MH08g0278200
MH10g0190300,MH07g0417700
MH03g0713300,MH04g0533700
MH12g0387700,MH04g0026100
MH09g0043700,MH12g0117400
MH01g0127200,MH03g0107400
MH11g0071100,MH02g0179900
MH09g0308400,MH05g0563000
MH02g0251900,MH04g0506200
MH12g0302200,MH05g0430000
MH04g0052500,MH03g0443700
MH10g0047800,MH11g0660900
MH02g0615000,MH01g0760500
MH09g0107200,MH03g0157800
MH06g0642700,MH03g0756300
MH08g0268100,MH10g0125900
MH08g0403600,MH06g0461800
MH02g0092500,MH01g0514800
MH01g0588400,MH07g0037100
MH06g0683800,MH03g0343500
MH01g0807300,MH12g0322700
MH05g0286400,MH10g0033600
MH03g0416000,MH02g0592000
MH01g0657800,MH01g0136800
MH01g0425500,MH04g0504000
MH10g0035400,MH10g0376600
MH09g0182800,MH03g0266700
MH06g0095600,MH05g0133300
MH03g0038800,MH04g0656800
MH11g0170600,MH11g0532200
MH06g0041100,MH08g0184200
MH08g0386300,MH09g0361700
MH04g0271500,MH07g0038100
MH10g0352700,MH03g0084400
MH12g0068100,MH08g0223100
MH07g0399900,MH04g0631000
MH02g0220100,MH02g0585100
MH05g0563700,MH06g0270200
MH02g0124400,MH06g0507300
MH10g0321800,MH08g0404600
MH04g0700200,MH01g0419400
MH08g0363700,MH02g0119900
MH03g0620000,MH07g0237300
MH07g0104000,MH08g0103100
MH11g0251000,MH05g0120900
MH02g0050800,MH08g0057000
MH11g0524300,MH07g0534800
MH04g0102100,MH12g0066600
MH11g0167800,MH02g0120800
MH07g0027200,MH06g0253000
MH07g0384200,MH06g0286900
MH02g0315600,MH07g0507400
MH01g0054300,MH03g0138400
MH05g0472700,MH02g0044700
MH03g0176100,MH05g0343100
MH09g0386900,MH11g0425300
MH09g0173500,MH07g0422500
MH06g0430100,MH03g0593800
MH08g0529900,MH06g0168300
MH02g0012900,MH05g0433000
MH06g0357900,MH01g0270900
MH05g0206600,MH12g0010100
MH03g0728300,MH06g0285900
MH12g0100000,MH04g0121500
MH09g0294100,MH08g0024100
MH06g0088200,MH02g0332500
MH11g0051100,MH07g0264300
MH01g0495300,MH04g0279400
MH05g0540800,MH07g0318500
MH07g0263200,MH10g0268800
MH08g0065800,MH11g0318100
MH09g0321000,MH01g0281800
MH11g0217200,MH04g0135400
MH10g0432000,MH12g0206300
MH09g0177700,MH08g0112600
MH09g0245100,MH11g0588800
MH12g0044800,MH06g0479100
MH05g0184400,MH04g0060200
MH01g0522100,MH12g0135500
MH03g0418800,MH03g0037300
MH10g0262500,MH12g0262100
MH02g0619800,MH08g0546700
MH11g0228100,MH11g0586400
MH11g0024900,MH01g0216400
MH04g0255000,MH06g0101800
MH11g0234400,MH10g0280600
MH01g0458700,MH04g0220600
MH03g0586500,MH12g0430800
MH06g0507100,MH08g0275400
MH08g0441800,MH01g0530800
MH01g0081100,MH03g0076000
MH05g0121300,MH04g0547300
MH06g0197700,MH01g0016100
MH04g0429200,MH02g0049000
MH11g0110700,MH04g0474600
MH07g0104100,MH03g0585000
MH02g0597700,MH05g0449700
MH10g0166200,MHUN02g00124
MH07g0092300,MH03g0491300
MH04g0702900,MH02g0278800
MH04g0591900,MH02g0702300
MH03g0372300,MH11g0449700
MH04g0294200,MH04g0276600
MH02g0470500,MH06g0244400
MH05g0190400,MH11g0517200
MH06g0478700,MH12g0057200
MH04g0312200,MH06g0689700
MH01g0755300,MH07g0035500
MH07g0415100,MH09g0012500
MH01g0655500,MH11g0414000
MH08g0180400,MH03g0724100
MH11g0079500,MH09g0156200
MH11g0512600,MH07g0469100
MH01g0672900,MH05g0192900
MH09g0413500,MH03g0273500
MH01g0373900,MH04g0648500
MH12g0243900,MH07g0321700
MH02g0497500,MH02g0171000
MH04g0503800,MH11g0231900
MH12g0150600,MH11g0059100
MH01g0666400,MH10g0196500
MH03g0235200,MH11g0398500
MH10g0196700,MH03g0136700
MH06g0171500,MH06g0350200
MH10g0198100,MH09g0041200
MH08g0124100,MH07g0150300
MH03g0042400,MH04g0407100
MH09g0301400,MH02g0361500
MH08g0126200,MH01g0180900
MH04g0055700,MH06g0274400
MH06g0148400,MH03g0679300
MH10g0182100,MH05g0057000
MH10g0123000,MH06g0157000
MH01g0683400,MH06g0308800
MH08g0224200,MH08g0464200
MH11g0586000,MH05g0521400
MH08g0425700,MH08g0527300
MH09g0455400,MH04g0578700
MH03g0500000,MH07g0033900
MH04g0661900,MH01g0274200
MH05g0548300,MH11g0038100
MH03g0508000,MH04g0659500
MH05g0029400,MH01g0039400
MH03g0449900,MH08g0381800
MH01g0483800,MH08g0439700
MH05g0521800,MH05g0525500
MH10g0053100,MH01g0044300
MH01g0564200,MH03g0329400
MH07g0526700,MH12g0400600
MH05g0162600,MH01g0544900
MH04g0397400,MH04g0311000
MH11g0122400,MH12g0039700
MH03g0240200,MH12g0107500
MH08g0278000,MH01g0733900
MH07g0125800,MH09g0233100
MH08g0119400,MH07g0304700
MH04g0574900,MH08g0281300
MH01g0469100,MH04g0485200
MH02g0556100,MH07g0323600
MH02g0502500,MH11g0219800
MH06g0676900,MH10g0367900
MH04g0684400,MH03g0018300
MH12g0010900,MH02g0330100
MH06g0305700,MH06g0524800
MH11g0424500,MH08g0475200
MH07g0026700,MH03g0168900
MH09g0358700,MH07g0499700
MH01g0578400,MH01g0609800
MH03g0628600,MH12g0422300
MH10g0335100,MH01g0183800
MH11g0355300,MH05g0345500
MH05g0398400,MH11g0059300
MH08g0081500,MH10g0165300
MH06g0488900,MH02g0050000
MH12g0315400,MH02g0315400
MH04g0437300,MH03g0712600
MH08g0483900,MH02g0409800
MH06g0402000,MH01g0416200
MH12g0036800,MH06g0469300
MH10g0015500,MH10g0264800
MH01g0805400,MH05g0058800
MH01g0443800,MH04g0552700
MH06g0132100,MH01g0479000
MH01g0396000,MH03g0396000
MH04g0405500,MH05g0156500
MH03g0506600,MH07g0497000
MH11g0618900,MH04g0050100
MH01g0279200,MH09g0224200
MH04g0241000,MH04g0146700
MH08g0413600,MH03g0415100
MH07g0097800,MH04g0232300
MH01g0046300,MH11g0037900
MH07g0406600,MH01g0141400
MH04g0673600,MH04g0133700
MH11g0587700,MH12g0461300
MH03g0452700,MH01g0124100
MH04g0599900,MH10g0109900
MH09g0430700,MH09g0240900
MH06g0660700,MH02g0223200
MH01g0814100,MH08g0136000
MH08g0013300,MH03g0475100
MH11g0545500,MH12g0061600
MH04g0399700,MH04g0557500
MH02g0018900,MH02g0444900
MH10g0186700,MH09g0473100
MH11g0113000,MH04g0432900
MH11g0166300,MH02g0033000
MH07g0315500,MH01g0365600
MH04g0245600,MH11g0437300
MH12g0459900,MH01g0304800
MH03g0267700,MH01g0585900
MH01g0656400,MH01g0370200
MH03g0420300,MH09g0377600
MH02g0194100,MH09g0046300
MH07g0478500,MH02g0522300
MH08g0341200,MH06g0291800
MH09g0093100,MH05g0080600
MH05g0080600,MH09g0162300
MH12g0354400,MH04g0059600
MH11g0104400,MH06g0230300
MH05g0409000,MH09g0025500
MH06g0492800,MH07g0169500
MH01g0734400,MH02g0282600
MH02g0584600,MH05g0388400
MH05g0356200,MH02g0210600
MH02g0308600,MH05g0534500
MH03g0551700,MH01g0561700
MH08g0137300,MH06g0409100
MH12g0011300,MH04g0198500
MH02g0343400,MH02g0398700
MH06g0494300,MH05g0047200
MH12g0354600,MH06g0512700
MH05g0165400,MH08g0257500
MH06g0552100,MH09g0241200
MH05g0513100,MH07g0229400
MH08g0558600,MH02g0278900
MH06g0567500,MH02g0297600
MH09g0226900,MH12g0209300
MH03g0078200,MH03g0751600
MH12g0304600,MH08g0355000
MH06g0126300,MH07g0086300
MH01g0698800,MH08g0474300
MH09g0410100,MH05g0076400
MH08g0312700,MH07g0017100
MH10g0215500,MH01g0575400
MH01g0456200,MH01g0605600
MH10g0385700,MH08g0129600
MH05g0091200,MH01g0151200
MH02g0088300,MH10g0202400
MH06g0620500,MH04g0537900
MH01g0652300,MH01g0624500
MH06g0273700,MH11g0103300
MH05g0048000,MH06g0021700
MH05g0073500,MH05g0303800
MH06g0527800,MH10g0389800
MH02g0605000,MH04g0578900
MH11g0423000,MH03g0614000
MH11g0372600,MH01g0419100
MH02g0621700,MH11g0661100
MH02g0546100,MH06g0627600
MH03g0059900,MH10g0259800
MH03g0163800,MH05g0367400
MH06g0396900,MH02g0424300
MH03g0599100,MH06g0124000
MH04g0674800,MH04g0055300
MH09g0197000,MH03g0019600
MH01g0344600,MH07g0384000
MH04g0502800,MH04g0070900
MH03g0185700,MH11g0496100
MH05g0154100,MH08g0469800
MH11g0083900,MH06g0080800
MH03g0507900,MH09g0384600
MH04g0072900,MH02g0601600
MH02g0198600,MH05g0421000
MH05g0143800,MH07g0123800
MH10g0235000,MH05g0275500
MH08g0369300,MH06g0681800
MH09g0100300,MH11g0481200
MH04g0680900,MH02g0523100
MH08g0275800,MH02g0013600
MH11g0369000,MH02g0267900
MH10g0263500,MH07g0405500
MH05g0294200,MH03g0087500
MH08g0213700,MH12g0255400
MH07g0446000,MH11g0108900
MH11g0067500,MH04g0577600
MH06g0235100,MH06g0277300
MH01g0397900,MH10g0040700
MH09g0110500,MH10g0227800
MH11g0080500,MH11g0546900
MH03g0504900,MH03g0501300
MH05g0187000,MH01g0522800
MH04g0463900,MH03g0306600
MH06g0350700,MH07g0388500
MH03g0011800,MH09g0149900
MH11g0285200,MH07g0497800
MH06g0657800,MH07g0429100
MH08g0312100,MH03g0756100
MH03g0218700,MH02g0160100
MH07g0463900,MH11g0196200
MH01g0192500,MH09g0095800
MH07g0390400,MH11g0544000
MH02g0709600,MH10g0230700
MH03g0459500,MH03g0184500
MH02g0672200,MH12g0385900
MH05g0016800,MH10g0288400
MH07g0458700,MH02g0127600
MH01g0151600,MH07g0086000
MH07g0338200,MH03g0117600
MH10g0077300,MH07g0047600
MH06g0532100,MH03g0437600
MH11g0064200,MH01g0545900
