Chr_ann1,Start_ann1,End_ann1,Chr_ann2,Start_ann2,End_ann2,ChIN,Annotation1,Annotation2
Chr01,1424,3568,Chr01,42603,48979,6,MH01g0010100,MH01g0011100
Chr01,29617,32020,Chr01,42603,48979,6,MH01g0010700,MH01g0011100
Chr01,29617,32020,Chr01,93990,98655,9,MH01g0010700,MH01g0012000
Chr01,42603,48979,Chr01,93990,98655,12,MH01g0011100,MH01g0012000
Chr01,42603,48979,Chr01,100806,104362,10,MH01g0011100,MH01g0012200
Chr01,42603,48979,Chr01,116498,124536,7,MH01g0011100,NA
Chr01,93990,98655,Chr01,116498,124536,10,MH01g0012000,NA
Chr01,100806,104362,Chr01,116498,124536,9,MH01g0012200,NA
Chr01,116498,124536,Chr01,137956,139342,10,NA,MH01g0012900
Chr01,116498,124536,Chr01,180959,182516,4,NA,MH01g0013900
Chr01,116498,124536,Chr01,2978818,2989051,4,NA,MH01g0073800
Chr01,116498,124536,Chr01,7769768,7778078,4,NA,MH01g0159100
Chr01,180959,182516,Chr01,242547,247325,4,MH01g0013900,MH01g0014800
Chr01,219510,222865,Chr01,242547,247325,8,MH01g0014400,MH01g0014800
Chr01,242547,247325,Chr01,260556,266523,10,MH01g0014800,MH01g0015200
Chr01,247436,249562,Chr01,260556,266523,17,NA,MH01g0015200
Chr01,247436,249562,Chr01,274060,276643,4,NA,MH01g0015500
Chr01,260556,266523,Chr01,274060,276643,7,MH01g0015200,MH01g0015500
Chr01,260556,266523,Chr01,430656,436735,6,MH01g0015200,MH01g0017400
Chr01,260556,266523,Chr01,37907136,37916208,4,MH01g0015200,MH01g0750900
Chr01,325330,330879,Chr01,334662,336982,7,MH01g0016100,MH01g0016200
Chr01,325330,330879,Chr01,338552,339027,5,MH01g0016100,MH01g0016200
Chr01,325330,330879,Chr01,367104,371621,14,MH01g0016100,MH01g0016900
Chr01,334662,336982,Chr01,367104,371621,5,MH01g0016200,MH01g0016900
Chr01,344247,345047,Chr01,367104,371621,4,MH01g0016500,MH01g0016900
Chr01,367104,371621,Chr01,399467,404459,4,MH01g0016900,MH01g0017000
Chr01,367104,371621,Chr01,430656,436735,6,MH01g0016900,MH01g0017400
Chr01,383639,385731,Chr01,399467,404459,7,MH01g0017000,MH01g0017000
Chr01,383639,385731,Chr01,430656,436735,6,MH01g0017000,MH01g0017400
Chr01,398258,398779,Chr01,430656,436735,4,MH01g0017000,MH01g0017400
Chr01,399467,404459,Chr01,430656,436735,27,MH01g0017000,MH01g0017400
Chr01,399467,404459,Chr01,464440,471566,7,MH01g0017000,MH01g0018200
Chr01,430656,436735,Chr01,464440,471566,13,MH01g0017400,MH01g0018200
Chr01,430656,436735,Chr01,476264,478213,5,MH01g0017400,MH01g0018300
Chr01,430656,436735,Chr01,3530560,3542510,4,MH01g0017400,MH01g0083800
Chr01,459123,460089,Chr01,464440,471566,5,MH01g0017900,MH01g0018200
Chr01,464440,471566,Chr01,476264,478213,17,MH01g0018200,MH01g0018300
Chr01,464440,471566,Chr01,504572,509979,5,MH01g0018200,MH01g0018700
Chr01,823008,825454,Chr01,986804,999711,5,MH01g0035500,MH01g0037800
Chr01,872884,875965,Chr01,967000,973105,7,MH01g0036100,MH01g0037300
Chr01,872884,875965,Chr01,972548,978543,4,MH01g0036100,MH01g0037300
Chr01,872884,875965,Chr01,986804,999711,9,MH01g0036100,MH01g0037800
Chr01,894312,894878,Chr01,986804,999711,4,MH01g0036300,MH01g0037800
Chr01,967000,973105,Chr01,972548,978543,13,MH01g0037300,MH01g0037300
Chr01,967000,973105,Chr01,986804,999711,28,MH01g0037300,MH01g0037800
Chr01,972548,978543,Chr01,986804,999711,55,MH01g0037300,MH01g0037800
Chr01,972548,978543,Chr01,1601070,1608128,4,MH01g0037300,MH01g0047600
Chr01,986804,999711,Chr01,986804,999711,17,MH01g0037800,MH01g0037800
Chr01,986804,999711,Chr01,998756,999265,4,MH01g0037800,MH01g0037800
Chr01,986804,999711,Chr01,1007840,1009694,17,MH01g0037800,MH01g0038100
Chr01,986804,999711,Chr01,1019093,1022002,11,MH01g0037800,MH01g0038200
Chr01,986804,999711,Chr01,1021930,1022982,4,MH01g0037800,MH01g0038200
Chr01,986804,999711,Chr01,1023301,1023680,6,MH01g0037800,MH01g0038200
Chr01,986804,999711,Chr01,1037930,1040130,5,MH01g0037800,MH01g0038300
Chr01,986804,999711,Chr01,1044372,1046086,4,MH01g0037800,MH01g0038500
Chr01,986804,999711,Chr01,1055404,1060240,8,MH01g0037800,MH01g0038600
Chr01,986804,999711,Chr01,1389125,1400372,5,MH01g0037800,MH01g0044600
Chr01,986804,999711,Chr01,1747218,1755447,4,MH01g0037800,MH01g0050300
Chr01,986804,999711,Chr01,1837818,1839616,4,MH01g0037800,MH01g0051700
Chr01,986804,999711,Chr01,8141213,8148067,4,MH01g0037800,MH01g0166500
Chr01,986804,999711,Chr01,20283343,20291700,6,MH01g0037800,MH01g0412900
Chr01,986804,999711,Chr01,26453410,26465480,5,MH01g0037800,MH01g0521800
Chr01,986804,999711,Chr01,34396838,34411756,5,MH01g0037800,MH01g0682600
Chr01,986804,999711,Chr01,37153415,37160409,4,MH01g0037800,MH01g0738600
Chr01,986804,999711,Chr01,40819767,40830188,4,MH01g0037800,MH01g0812200
Chr01,1007840,1009694,Chr01,1019093,1022002,5,MH01g0038100,MH01g0038200
Chr01,1037930,1040130,Chr01,2978818,2989051,4,MH01g0038300,MH01g0073800
Chr01,1044372,1046086,Chr01,1055404,1060240,6,MH01g0038500,MH01g0038600
Chr01,1055404,1060240,Chr01,1159181,1162475,4,MH01g0038600,MH01g0040300
Chr01,1055404,1060240,Chr01,1341195,1346516,5,MH01g0038600,MH01g0043700
Chr01,1055404,1060240,Chr01,1389125,1400372,5,MH01g0038600,MH01g0044600
Chr01,1341195,1346516,Chr01,1362553,1362958,6,MH01g0043700,MH01g0044100
Chr01,1341195,1346516,Chr01,1363264,1363810,7,MH01g0043700,MH01g0044100
Chr01,1341195,1346516,Chr01,1389125,1400372,23,MH01g0043700,MH01g0044600
Chr01,1341195,1346516,Chr01,1409196,1415403,8,MH01g0043700,MH01g0044900
Chr01,1341195,1346516,Chr01,1679613,1682426,4,MH01g0043700,MH01g0049300
Chr01,1389125,1400372,Chr01,1389125,1400372,19,MH01g0044600,MH01g0044600
Chr01,1389125,1400372,Chr01,1407809,1408149,5,MH01g0044600,MH01g0044900
Chr01,1389125,1400372,Chr01,1408173,1409616,10,MH01g0044600,MH01g0044900
Chr01,1389125,1400372,Chr01,1409196,1415403,55,MH01g0044600,MH01g0044900
Chr01,1389125,1400372,Chr01,1539994,1544344,7,MH01g0044600,MH01g0046500
Chr01,1389125,1400372,Chr01,1547397,1552947,4,MH01g0044600,MH01g0046700
Chr01,1389125,1400372,Chr01,1601070,1608128,4,MH01g0044600,MH01g0047600
Chr01,1389125,1400372,Chr01,1783790,1795125,5,MH01g0044600,MH01g0051200
Chr01,1389125,1400372,Chr01,1975008,1981654,4,MH01g0044600,MH01g0055400
Chr01,1389125,1400372,Chr01,2094465,2105513,4,MH01g0044600,MH01g0056600
Chr01,1389125,1400372,Chr01,3277479,3285727,4,MH01g0044600,MH01g0079700
Chr01,1389125,1400372,Chr01,3530560,3542510,4,MH01g0044600,MH01g0083800
Chr01,1389125,1400372,Chr01,33568029,33573281,4,MH01g0044600,MH01g0668500
Chr01,1504045,1506379,Chr01,1539994,1544344,4,MH01g0045900,MH01g0046500
Chr01,1512708,1513956,Chr01,1539994,1544344,7,MH01g0046000,MH01g0046500
Chr01,1539994,1544344,Chr01,1547397,1552947,36,MH01g0046500,MH01g0046700
Chr01,1539994,1544344,Chr01,1559635,1560891,4,MH01g0046500,MH01g0046900
Chr01,1539994,1544344,Chr01,1583290,1585954,6,MH01g0046500,MH01g0047500
Chr01,1539994,1544344,Chr01,1747218,1755447,11,MH01g0046500,MH01g0050300
Chr01,1539994,1544344,Chr01,2094465,2105513,4,MH01g0046500,MH01g0056600
Chr01,1539994,1544344,Chr01,3530560,3542510,5,MH01g0046500,NA
Chr01,1539994,1544344,Chr01,4393417,4401143,6,MH01g0046500,MH01g0096500
Chr01,1539994,1544344,Chr01,4483554,4493632,7,MH01g0046500,MH01g0097500
Chr01,1539994,1544344,Chr01,10059958,10065619,4,MH01g0046500,MH01g0218300
Chr01,1547397,1552947,Chr01,1559635,1560891,17,MH01g0046700,MH01g0046900
Chr01,1547397,1552947,Chr01,1561992,1562847,10,MH01g0046700,MH01g0046900
Chr01,1547397,1552947,Chr01,1747218,1755447,5,MH01g0046700,MH01g0050300
Chr01,1547397,1552947,Chr01,2094465,2105513,5,MH01g0046700,MH01g0056600
Chr01,1547397,1552947,Chr01,2978818,2989051,7,MH01g0046700,MH01g0073800
Chr01,1547397,1552947,Chr01,10059958,10065619,4,MH01g0046700,MH01g0218300
Chr01,1547397,1552947,Chr01,21631908,21638430,4,MH01g0046700,MH01g0443100
Chr01,1547397,1552947,Chr01,30399374,30406482,4,MH01g0046700,MH01g0596700
Chr01,1547397,1552947,Chr01,31702411,31713111,4,MH01g0046700,MH01g0626900
Chr01,1547397,1552947,Chr01,35392278,35396631,4,MH01g0046700,MH01g0698400
Chr01,1547397,1552947,Chr01,39701118,39712672,4,MH01g0046700,MH01g0790800
Chr01,1561992,1562847,Chr01,1601070,1608128,4,MH01g0046900,MH01g0047600
Chr01,1561992,1562847,Chr01,1783790,1795125,4,MH01g0046900,MH01g0051200
Chr01,1583290,1585954,Chr01,1601070,1608128,5,MH01g0047500,MH01g0047600
Chr01,1583290,1585954,Chr01,1783790,1795125,4,MH01g0047500,MH01g0051200
Chr01,1720186,1721569,Chr01,1730572,1735211,15,MH01g0049800,MH01g0049900
Chr01,1720186,1721569,Chr01,1747218,1755447,8,MH01g0049800,MH01g0050300
Chr01,1720186,1721569,Chr01,1783790,1795125,4,MH01g0049800,MH01g0051200
Chr01,1730572,1735211,Chr01,1747218,1755447,15,MH01g0049900,MH01g0050300
Chr01,1730572,1735211,Chr01,1783790,1795125,11,MH01g0049900,MH01g0051200
Chr01,1747218,1755447,Chr01,1762092,1764082,46,MH01g0050300,MH01g0050600
Chr01,1747218,1755447,Chr01,1783790,1795125,59,MH01g0050300,MH01g0051200
Chr01,1747218,1755447,Chr01,1975008,1981654,7,MH01g0050300,MH01g0055400
Chr01,1747218,1755447,Chr01,4393417,4401143,12,MH01g0050300,MH01g0096500
Chr01,1747218,1755447,Chr01,7155812,7164395,4,MH01g0050300,MH01g0147900
Chr01,1747218,1755447,Chr01,10059958,10065619,4,MH01g0050300,MH01g0218300
Chr01,1747218,1755447,Chr01,21204765,21218155,5,MH01g0050300,MH01g0426600
Chr01,1747218,1755447,Chr01,26299232,26313356,4,MH01g0050300,MH01g0519500
Chr01,1747218,1755447,Chr01,28564662,28569878,4,MH01g0050300,MH01g0564100
Chr01,1747218,1755447,Chr01,30399374,30406482,5,MH01g0050300,MH01g0596700
Chr01,1747218,1755447,Chr01,35082404,35090278,4,MH01g0050300,MH01g0693200
Chr01,1747218,1755447,Chr01,37153415,37160409,4,MH01g0050300,MH01g0738600
Chr01,1747218,1755447,Chr01,39041355,39052820,5,MH01g0050300,MH01g0780100
Chr01,1762092,1764082,Chr01,1783790,1795125,18,MH01g0050600,MH01g0051200
Chr01,1783790,1795125,Chr01,1783790,1795125,9,MH01g0051200,MH01g0051200
Chr01,1783790,1795125,Chr01,1805473,1806875,27,MH01g0051200,MH01g0051200
Chr01,1783790,1795125,Chr01,1926215,1929148,4,MH01g0051200,MH01g0054100
Chr01,1783790,1795125,Chr01,1929607,1934725,4,MH01g0051200,MH01g0054200
Chr01,1783790,1795125,Chr01,1975008,1981654,5,MH01g0051200,MH01g0055400
Chr01,1783790,1795125,Chr01,2094465,2105513,14,MH01g0051200,MH01g0056600
Chr01,1783790,1795125,Chr01,8141213,8148067,5,MH01g0051200,MH01g0166500
Chr01,1783790,1795125,Chr01,29851033,29857713,4,MH01g0051200,MH01g0587800
Chr01,1783790,1795125,Chr01,30399374,30406482,6,MH01g0051200,MH01g0596700
Chr01,1967113,1969744,Chr01,1975008,1981654,13,MH01g0055000,MH01g0055400
Chr01,1967113,1969744,Chr01,2094465,2105513,6,MH01g0055000,MH01g0056600
Chr01,1975008,1981654,Chr01,2028266,2029650,4,MH01g0055400,MH01g0056100
Chr01,1975008,1981654,Chr01,2094465,2105513,18,MH01g0055400,MH01g0056600
Chr01,1975008,1981654,Chr01,2978818,2989051,5,MH01g0055400,MH01g0073800
Chr01,1975008,1981654,Chr01,30356052,30368942,4,MH01g0055400,MH01g0596100
Chr01,2014239,2016755,Chr01,2094465,2105513,6,NA,MH01g0056600
Chr01,2028266,2029650,Chr01,2094465,2105513,34,MH01g0056100,MH01g0056600
Chr01,2029831,2032589,Chr01,2083813,2087517,5,NA,MH01g0056500
Chr01,2029831,2032589,Chr01,2094465,2105513,51,NA,MH01g0056600
Chr01,2032521,2033286,Chr01,2094465,2105513,36,NA,MH01g0056600
Chr01,2083813,2087517,Chr01,2094465,2105513,94,MH01g0056500,MH01g0056600
Chr01,2094465,2105513,Chr01,2094465,2105513,28,MH01g0056600,MH01g0056600
Chr01,2094465,2105513,Chr01,2132307,2135050,14,MH01g0056600,MH01g0057000
Chr01,2094465,2105513,Chr01,2145746,2149756,4,MH01g0056600,MH01g0057200
Chr01,2094465,2105513,Chr01,2262041,2263368,4,MH01g0056600,MH01g0058800
Chr01,2094465,2105513,Chr01,2978818,2989051,10,MH01g0056600,MH01g0073800
Chr01,2094465,2105513,Chr01,3277479,3285727,6,MH01g0056600,MH01g0079700
Chr01,2094465,2105513,Chr01,3530560,3542510,7,MH01g0056600,MH01g0083800
Chr01,2094465,2105513,Chr01,8379858,8393130,9,MH01g0056600,MH01g0170900
Chr01,2094465,2105513,Chr01,28710449,28729283,13,MH01g0056600,NA
Chr01,2094465,2105513,Chr01,28944311,28955845,6,MH01g0056600,MH01g0571200
Chr01,2094465,2105513,Chr01,31667621,31676590,8,MH01g0056600,MH01g0626600
Chr01,2094465,2105513,Chr01,33861208,33865945,4,MH01g0056600,MH01g0673800
Chr01,2094465,2105513,Chr01,35935230,35954224,7,MH01g0056600,MH01g0707200
Chr01,2094465,2105513,Chr01,37153415,37160409,4,MH01g0056600,MH01g0738600
Chr01,2094465,2105513,Chr01,37907136,37916208,11,MH01g0056600,MH01g0750900
Chr01,2094465,2105513,Chr01,39070365,39075521,4,MH01g0056600,NA
Chr01,2132307,2135050,Chr01,2145746,2149756,5,MH01g0057000,MH01g0057200
Chr01,2391786,2396254,Chr01,2432811,2438170,8,MH01g0060800,MH01g0062000
Chr01,2391786,2396254,Chr01,2450037,2461239,4,MH01g0060800,MH01g0062100
Chr01,2432811,2438170,Chr01,2446496,2448059,4,MH01g0062000,MH01g0062100
Chr01,2432811,2438170,Chr01,2450037,2461239,9,MH01g0062000,MH01g0062100
Chr01,2437850,2438261,Chr01,2450037,2461239,7,MH01g0062000,MH01g0062100
Chr01,2437850,2438261,Chr01,2978818,2989051,4,MH01g0062000,MH01g0073800
Chr01,2445717,2446324,Chr01,2450037,2461239,7,MH01g0062100,MH01g0062100
Chr01,2446496,2448059,Chr01,2450037,2461239,19,MH01g0062100,MH01g0062100
Chr01,2448148,2448481,Chr01,2450037,2461239,5,MH01g0062100,MH01g0062100
Chr01,2449588,2450795,Chr01,2450037,2461239,4,MH01g0062100,MH01g0062100
Chr01,2450037,2461239,Chr01,2450037,2461239,19,MH01g0062100,MH01g0062100
Chr01,2450037,2461239,Chr01,2484535,2485310,4,MH01g0062100,MH01g0062600
Chr01,2450037,2461239,Chr01,2978818,2989051,5,MH01g0062100,MH01g0073800
Chr01,2450037,2461239,Chr01,3277479,3285727,5,MH01g0062100,MH01g0079700
Chr01,2631623,2636725,Chr01,2648474,2650564,4,MH01g0065200,NA
Chr01,2719188,2721283,Chr01,2978818,2989051,5,MH01g0067300,MH01g0073800
