Annotation1,Annotation2
MH05g0049700,MH05g0365400
MH04g0351300,MH01g0456400
MH04g0113700,MH12g0208900
MH01g0760600,MH11g0434000
MH04g0537000,MH02g0706700
MH06g0453200,MH10g0010400
MH12g0357200,MH03g0644100
MH10g0033700,MH10g0224300
MH09g0323800,MH08g0114200
MH05g0019600,MH08g0438800
MH10g0151300,MH02g0619500
MH06g0041000,MH06g0103700
MH04g0143300,MH09g0399400
MH06g0690700,MH07g0035100
MH02g0214700,MH11g0063200
MH03g0229300,MH03g0146700
MH06g0011000,MH03g0407700
MH06g0454800,MH03g0725700
MH10g0221800,MH09g0406600
MH09g0398300,MH08g0154100
MH12g0048400,MH08g0282600
MH05g0303100,MH01g0123800
MH08g0466400,MH09g0440100
MH06g0078900,MH06g0224700
MH04g0168100,MH07g0260900
MH01g0394700,MH08g0083400
MH04g0269600,MH08g0381700
MH12g0357700,MH01g0394000
MH07g0122500,MH02g0036300
MH12g0364900,MH06g0512300
MH06g0129200,MH01g0582700
MH04g0246000,MH08g0342600
MH04g0429600,MH11g0013200
MH08g0014000,MH06g0383000
MH09g0462100,MH07g0189200
MH05g0292900,MH05g0165200
MH10g0112300,MH08g0195400
MH09g0201300,MH09g0123900
MH04g0539000,MH09g0230300
MH05g0380400,MH11g0649500
MH01g0488700,MH05g0191100
MH03g0521100,MH11g0374600
MH11g0356600,MH02g0490000
MH10g0017600,MH02g0196500
MH08g0299100,MH09g0455000
MH02g0357500,MH07g0312600
MH02g0547000,MH12g0113900
MH07g0393100,MH01g0419900
MH02g0101000,MH06g0228700
MH12g0043500,MH04g0467900
MH03g0362400,MH08g0209000
MH04g0136300,MH04g0314500
MH08g0025400,MH04g0687800
MH11g0123900,MH11g0453500
MH01g0693900,MH02g0125100
MH01g0239800,MH01g0697100
MH02g0361800,MH05g0041500
MH08g0485500,MH11g0046300
MH06g0643800,MH06g0621300
MH01g0689800,MH06g0279700
MH07g0194900,MH01g0314200
MH03g0141700,MH09g0071400
MH03g0261800,MH04g0359300
MH11g0014700,MH11g0138000
MH06g0702100,MH04g0651700
MH04g0107000,MH12g0278400
MH09g0066000,MH05g0297300
MH04g0491600,MH11g0165300
MH11g0498500,MH11g0214300
MH06g0266800,MH06g0224300
MH12g0130600,MH01g0254900
MH10g0066000,MH04g0168500
MH02g0275500,MH11g0534500
MH07g0078000,MH10g0129700
MH03g0183000,MH01g0184100
MH04g0223200,MH04g0666800
MH04g0144000,MH08g0024900
MH10g0124700,MH11g0037100
MH01g0055500,MH07g0284800
MH06g0280500,MH02g0691500
MH01g0798100,MH06g0304900
MH10g0105400,MH10g0113200
MH12g0171400,MH06g0701100
MH06g0244700,MH05g0304300
MH09g0149600,MH06g0131200
MH05g0280100,MH04g0237100
MH03g0320100,MH04g0578700
MH07g0266200,MH05g0206400
MH05g0340800,MH05g0408600
MH02g0202500,MH06g0530000
MH04g0046500,MH11g0567600
MH03g0690300,MH11g0208200
MH09g0379700,MH01g0805700
MH06g0275500,MH10g0334200
MH09g0304700,MH04g0035200
MH05g0460800,MH04g0638400
MH06g0043400,MH05g0299200
MH02g0359900,MH11g0654500
MH02g0304800,MH06g0706200
MH01g0087500,MH09g0385400
MH10g0027600,MH07g0467500
MH01g0139600,MH05g0280200
MH10g0323700,MH10g0023200
MH02g0149400,MH06g0334200
MH02g0229500,MH08g0120400
MH12g0317400,MH09g0466400
MH11g0169900,MH05g0411600
MH04g0030900,MH01g0159200
MH01g0475700,MH11g0114000
MH02g0524900,MH11g0587900
MH11g0435100,MH09g0238600
MH02g0250500,MH01g0738200
MH07g0387400,MH11g0048100
MH06g0395100,MH07g0183100
MH11g0039800,MH08g0487400
MH03g0753300,MH06g0234000
MH01g0297900,MH01g0298100
MH07g0475300,MH02g0712900
MH03g0079700,MH11g0437900
MH09g0271800,MH03g0232700
MH02g0048000,MH05g0015500
MH04g0574700,MH06g0553400
MH07g0338400,MH05g0093500
MH01g0397400,MH05g0016100
MH01g0051600,MH08g0333900
MH09g0149600,MH03g0177400
MH12g0422900,MH07g0244500
MH05g0300100,MH04g0127000
MH01g0529600,MH07g0426900
MH06g0316200,MH03g0508900
MH04g0485000,MH07g0175600
MH02g0355300,MH02g0500000
MH04g0366600,MH02g0149100
MH01g0601500,MH04g0228300
MH11g0194000,MH02g0241000
MH01g0456600,MH07g0026500
MH01g0038700,MH08g0131700
MH12g0255900,MH07g0207900
MH03g0765500,MH03g0714900
MH10g0037500,MH08g0416600
MH02g0279800,MH06g0146900
MH05g0230600,MH06g0188700
MH05g0131700,MH09g0251300
MH08g0256100,MH09g0025100
MH06g0232500,MH04g0151800
MH04g0612300,MH02g0234300
MH09g0155500,MH07g0139800
MH02g0010800,MH03g0493700
MH06g0276300,MH03g0344100
MH06g0467700,MH07g0077700
MH12g0396000,MH02g0140700
MH07g0041700,MH04g0661200
MH05g0306000,MH09g0393900
MH03g0451200,MH03g0592100
MH02g0225000,MH05g0191900
MH04g0277400,MH09g0452800
MH04g0032300,MH06g0673800
MH04g0110100,MH05g0404900
MH11g0425900,MH02g0314100
MH06g0313300,MH03g0219900
MH10g0165700,MH06g0027600
MH07g0430500,MH03g0507700
MH04g0049500,MH10g0046900
MH07g0278800,MH05g0206200
MH10g0062600,MH07g0032100
MH01g0482200,MH03g0514400
MH08g0398500,MH09g0247200
MH12g0253600,MH07g0145900
MH09g0219000,MH11g0109500
MH01g0153800,MH02g0546600
MH04g0107600,MH11g0377300
MH06g0591700,MH06g0683500
MH12g0371000,MH01g0801700
MH06g0418100,MH01g0799400
MH11g0567400,MH07g0127500
MH12g0174300,MH08g0486900
MH11g0344600,MH01g0031400
MH05g0373300,MH10g0135000
MH01g0246200,MH09g0227000
MH03g0276500,MH03g0139700
MH03g0513600,MH02g0421400
MH08g0309700,MH01g0568900
MH08g0102600,MH07g0351800
MH09g0431000,MH03g0261500
MH08g0367000,MH09g0291100
MH08g0404500,MH09g0460300
MH01g0453500,MH07g0282800
MH05g0561600,MH06g0526000
MH07g0388100,MH07g0220800
MH01g0252400,MH06g0124700
MH09g0401600,MH09g0336300
MH12g0042000,MH10g0030500
MH11g0019700,MH05g0126700
MH04g0043000,MH02g0064200
MH02g0518700,MH06g0234300
MH10g0108500,MH03g0095000
MH11g0534500,MH09g0180300
MH07g0100000,MH05g0099100
MH01g0239700,MH06g0284100
MH12g0175700,MH03g0517600
MH05g0240900,MH03g0112300
MH03g0129300,MH09g0415600
MH12g0042100,MH10g0311200
MH11g0659200,MH06g0448500
MH03g0681400,MH05g0072700
MH05g0084200,MH06g0193800
MH02g0160600,MH02g0244900
MH04g0468000,MH12g0279400
MH05g0527000,MH03g0744400
MH08g0545200,MH07g0276500
MH10g0152400,MH03g0511200
MH09g0270400,MH05g0157100
MH03g0082900,MH06g0397000
MH07g0484900,MH09g0087300
MH03g0211100,MH06g0495700
MH04g0305100,MH11g0284500
MH09g0362900,MH06g0479200
MH07g0465600,MH06g0642000
MH06g0221300,MH11g0405100
MH11g0404600,MH06g0554100
MH12g0449900,MH12g0199500
MH11g0489800,MH01g0148300
MH04g0350300,MH11g0646900
MH11g0114100,MH08g0243900
MH04g0579600,MH12g0047600
MH01g0137900,MH01g0473400
MH02g0082000,MH02g0559000
MH04g0394800,MH04g0361400
MH03g0155900,MH08g0281000
MH12g0230500,MH03g0096100
MH01g0391100,MH09g0094000
MH11g0453600,MH08g0114100
MH02g0643000,MH07g0324000
MH12g0066200,MH03g0513500
MH01g0302200,MH03g0758600
MH09g0313100,MH11g0311800
MH06g0172300,MH06g0358600
MH07g0405000,MH11g0576400
MH12g0061100,MH02g0299200
MH06g0512800,MH08g0488000
MH06g0125000,MH06g0355100
MH12g0308000,MH10g0127500
MH02g0168100,MH01g0392700
MH03g0541200,MH03g0744300
MH03g0724600,MH04g0517900
MH10g0201500,MH08g0112400
MH01g0306400,MH10g0333700
MH05g0462700,MH11g0011400
MH11g0110100,MH11g0047600
MH05g0052400,MH12g0130800
MH07g0349700,MH07g0233300
MH02g0178000,MH07g0158300
MH09g0409400,MH05g0336600
MH09g0010500,MH02g0227300
MH11g0233800,MH06g0024200
MH08g0252700,MH03g0435300
MH05g0539100,MH03g0371200
MH10g0010400,MH07g0383800
MH08g0224500,MH06g0027200
MH06g0163900,MH04g0539400
MH04g0585700,MH12g0363600
MH11g0400700,MH03g0517400
MH05g0338700,MH12g0118600
MH03g0642300,MH01g0522900
MH08g0471900,MH04g0241600
MH01g0509800,MH02g0231300
MH04g0486200,MH10g0397200
MH06g0268700,MH12g0275700
MH03g0337000,MH07g0311500
MH03g0766400,MH04g0241700
MH04g0378600,MH10g0216400
MH10g0055900,MH11g0635200
MH07g0503600,MH01g0710100
MH01g0115800,MH03g0328400
MH04g0195500,MH03g0010900
MH04g0561500,MH01g0339700
MH10g0175700,MH01g0464900
MH04g0658000,MH09g0243000
MH12g0245000,MH12g0132500
MH09g0172800,MH08g0473800
MH10g0435700,MH01g0450100
MH03g0254000,MH12g0121500
MH12g0418200,MH03g0218300
MH02g0226300,MH04g0239100
MH01g0344600,MH05g0522700
MH01g0166200,MH07g0390700
MH04g0273200,MH04g0574500
MH04g0659300,MH01g0145400
MH10g0425200,MH09g0139600
MH04g0653200,MH04g0395400
MH09g0099000,MH04g0489800
MH07g0512300,MH12g0415300
MH09g0137800,MH02g0110100
MH08g0026300,MH01g0347200
MH01g0410100,MH10g0393600
MH08g0511200,MH12g0049900
MH10g0190300,MH07g0542300
MH03g0323500,MH06g0465800
MH11g0546000,MH06g0618200
MH09g0122400,MH10g0102900
MH06g0242600,MH07g0492100
MH10g0390100,MH01g0753800
MH11g0136800,MH07g0178100
MH09g0325200,MH08g0056200
MH10g0227100,MH11g0059300
MH01g0518900,MH10g0241400
MH02g0212100,MH05g0209400
MH01g0242100,MH07g0278300
MH05g0014200,MH10g0079100
MH06g0236500,MH05g0240200
MH05g0538800,MH04g0231600
MH08g0256800,MH06g0332000
MH12g0264000,MH11g0119900
MH02g0111600,MH07g0241400
MH09g0190500,MH07g0077700
MH01g0246900,MH12g0293600
MH03g0566300,MH09g0374400
MH02g0600300,MH03g0038100
MH04g0083500,MH01g0596900
MH06g0253900,MH11g0251000
MH06g0705500,MH02g0033300
MH12g0412800,MH08g0117000
MH01g0243200,MH02g0480500
MH06g0186900,MH12g0022400
MH10g0296400,MH12g0364400
MH10g0326500,MH04g0054100
MH06g0696600,MH04g0204600
MH07g0169200,MH05g0257600
MH01g0733500,MH10g0018100
MH02g0395400,MH07g0270900
MH09g0222000,MH04g0031300
MH06g0313000,MH02g0330300
MH10g0297900,MH11g0524600
MH09g0108800,MH10g0262400
MH02g0229800,MH04g0156000
MH04g0074200,MH12g0010100
MH06g0381800,MH03g0277200
MH07g0155600,MH05g0228500
MH04g0536200,MH04g0663800
MH05g0359000,MH06g0156900
MH11g0354300,MH04g0349200
MH06g0245600,MH12g0126200
MH02g0362700,MH06g0461700
MH08g0492100,MH07g0322100
MH12g0083800,MH11g0587300
MH06g0092100,MH01g0156000
MH09g0091000,MH10g0129400
MH09g0163800,MH09g0454500
MH02g0305800,MH02g0037400
