Chr_ann1,Start_ann1,End_ann1,Chr_ann2,Start_ann2,End_ann2,ChIN,Annotation1,Annotation2
Chr01,21267,22578,Chr01,61867,64953,6,ZS01g0010400,ZS01g0011400
Chr01,61867,64953,Chr01,97892,102171,13,ZS01g0011400,ZS01g0012400
Chr01,64764,65674,Chr01,97892,102171,6,ZS01g0011400,ZS01g0012400
Chr01,289076,290391,Chr01,303721,305526,8,ZS01g0015900,ZS01g0016300
Chr01,292231,293447,Chr01,303721,305526,6,ZS01g0015900,ZS01g0016300
Chr01,353316,353984,Chr01,364319,365425,6,ZS01g0016800,ZS01g0017100
Chr01,356139,357936,Chr01,396346,397033,6,ZS01g0017000,ZS01g0017600
Chr01,446363,452354,Chr01,475088,475767,6,ZS01g0018000,ZS01g0018500
Chr01,446363,452354,Chr01,486563,491370,12,ZS01g0018000,ZS01g0018700
Chr01,446363,452354,Chr01,2160281,2171765,8,ZS01g0018000,ZS01g0047500
Chr01,446363,452354,Chr01,4459347,4467789,12,ZS01g0018000,ZS01g0085200
Chr01,446363,452354,Chr01,8353346,8366597,9,ZS01g0018000,ZS01g0171800
Chr01,475088,475767,Chr01,486563,491370,11,ZS01g0018500,ZS01g0018700
Chr01,486563,491370,Chr01,497887,498479,17,ZS01g0018700,ZS01g0018800
Chr01,486563,491370,Chr01,499167,499686,14,ZS01g0018700,ZS01g0018900
Chr01,905025,905668,Chr01,926917,928114,14,ZS01g0026900,ZS01g0027000
Chr01,905025,905668,Chr01,929428,934231,6,ZS01g0026900,ZS01g0027100
Chr01,929428,934231,Chr01,948474,952473,23,ZS01g0027100,ZS01g0027400
Chr01,948474,952473,Chr01,1026794,1029131,8,ZS01g0027400,ZS01g0028200
Chr01,948474,952473,Chr01,1038690,1047266,15,ZS01g0027400,ZS01g0028600
Chr01,1018239,1020030,Chr01,1038690,1047266,7,ZS01g0028200,ZS01g0028600
Chr01,1021312,1021735,Chr01,1038690,1047266,9,ZS01g0028200,ZS01g0028600
Chr01,1024136,1024874,Chr01,1038690,1047266,8,ZS01g0028200,ZS01g0028600
Chr01,1026794,1029131,Chr01,1038690,1047266,38,ZS01g0028200,ZS01g0028600
Chr01,1031327,1031744,Chr01,1038690,1047266,8,ZS01g0028300,ZS01g0028600
Chr01,1038690,1047266,Chr01,1049611,1050183,8,ZS01g0028600,ZS01g0028700
Chr01,1038690,1047266,Chr01,1055066,1055442,8,ZS01g0028600,ZS01g0028800
Chr01,1038690,1047266,Chr01,1057111,1057551,6,ZS01g0028600,ZS01g0028900
Chr01,1038690,1047266,Chr01,1058109,1058424,6,ZS01g0028600,ZS01g0028900
Chr01,1038690,1047266,Chr01,1058904,1059406,6,ZS01g0028600,ZS01g0029000
Chr01,1038690,1047266,Chr01,1059886,1061580,9,ZS01g0028600,ZS01g0029000
Chr01,1038690,1047266,Chr01,1061867,1063650,10,ZS01g0028600,ZS01g0029000
Chr01,1038690,1047266,Chr01,29418417,29431689,9,ZS01g0028600,ZS01g0612900
Chr01,1038690,1047266,Chr01,29454517,29464719,6,ZS01g0028600,ZS01g0613300
Chr01,1059886,1061580,Chr01,1071229,1072889,6,ZS01g0029000,ZS01g0029100
Chr01,1061867,1063650,Chr01,1071229,1072889,13,ZS01g0029000,ZS01g0029100
Chr01,1372117,1377101,Chr01,1413317,1424782,23,ZS01g0034100,ZS01g0034900
Chr01,1413317,1424782,Chr01,1448887,1449263,12,ZS01g0034900,ZS01g0035600
Chr01,1413317,1424782,Chr01,1449893,1450248,17,ZS01g0034900,ZS01g0035600
Chr01,1413317,1424782,Chr01,1452302,1452653,13,ZS01g0034900,ZS01g0035600
Chr01,1413317,1424782,Chr01,1452998,1453929,14,ZS01g0034900,ZS01g0035600
Chr01,1413317,1424782,Chr01,2160281,2171765,7,ZS01g0034900,ZS01g0047500
Chr01,1531925,1532599,Chr01,1586023,1590040,8,ZS01g0036500,ZS01g0037000
Chr01,1549888,1552102,Chr01,1557901,1560749,9,ZS01g0036600,ZS01g0036700
Chr01,1557901,1560749,Chr01,1593562,1598928,9,ZS01g0036700,ZS01g0037200
Chr01,1586023,1590040,Chr01,1593562,1598928,41,ZS01g0037000,ZS01g0037200
Chr01,1586023,1590040,Chr01,1803986,1809367,9,ZS01g0037000,ZS01g0040700
Chr01,1586023,1590040,Chr01,1809067,1810522,6,ZS01g0037000,ZS01g0040900
Chr01,1586023,1590040,Chr01,12088560,12095852,7,ZS01g0037000,ZS01g0248900
Chr01,1586023,1590040,Chr01,26468553,26484810,7,ZS01g0037000,ZS01g0553100
Chr01,1586023,1590040,Chr01,28494225,28500816,6,ZS01g0037000,ZS01g0586700
Chr01,1586023,1590040,Chr01,28933271,28939562,7,ZS01g0037000,ZS01g0604700
Chr01,1586023,1590040,Chr01,29418417,29431689,8,ZS01g0037000,ZS01g0612900
Chr01,1586023,1590040,Chr01,29454517,29464719,6,ZS01g0037000,ZS01g0613300
Chr01,1586023,1590040,Chr01,32900386,32907065,9,ZS01g0037000,ZS01g0679000
Chr01,1586023,1590040,Chr01,33796951,33812285,11,ZS01g0037000,ZS01g0693200
